"MSDIAL_EtherOxPC","[M+CH3COO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-16:0_20:3;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;WZORWXIDJBWCTP-UDPRAXMXNA-N;C44H84NO10P","876.59714","353.2333","802.5598","317.2122","335.2228","876.5972","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:3;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;BHHMAHQFZSWTMO-UDPRAXMXNA-N;C44H84NO11P","892.59205","369.2283","818.5547","333.2072","351.2177","892.592","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;WRORLIOCZYCPIJ-OLXNMAQBNA-N;C44H82NO8P","842.59166","319.2279","768.5543","301.2173","842.5917","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;FSCCYEWRULFPJV-HNKZPNGWNA-N;C44H80NO8P","840.57601","317.2122","766.5387","840.576","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_20:4;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;ZIIVOYZRQSJXBP-CPVGNWSMNA-N;C44H82NO9P","858.58657","335.2228","784.5493","299.2017","317.2122","858.5865","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;LKUOCERBPFGCJD-FOTSAGTANA-N;C44H82NO10P","874.58149","351.2177","800.5442","315.1966","333.2072","874.5815","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;HEMMLNAJFBFRLT-UDPRAXMXNA-N;C44H82NO10P","874.58149","351.2177","800.5442","333.2072","874.5815","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;DGRNEQKTAJBNKK-FCFLYICHNA-N;C44H82NO11P","890.57640","367.2126","816.5391","331.1915","349.2021","890.5764","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;DMLQQNNZMBUALH-UDPRAXMXNA-N;C44H82NO11P","890.57640","367.2126","816.5391","331.1915","349.2021","890.5764","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;ZXGGVTMQDDMKTG-FPCIURQGNA-N;C44H80NO8P","840.57601","317.2122","766.5387","299.2017","840.576","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;ZWVWTMPCJMMMQV-LHBHOESQNA-N;C44H78NO8P","838.56036","315.1966","764.523","838.5604","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_20:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;VJQBPTAQMLUCLF-GKAQJMEKNA-N;C44H80NO9P","856.57092","333.2071","782.5336","297.186","315.1966","856.5709","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;YIOMKQFFOFPCPE-MGWRBLPRNA-N;C44H80NO10P","872.56584","349.2021","798.5285","313.1809","331.1915","872.5659","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;YFUZTUKAPGVDJD-FCFLYICHNA-N;C44H80NO10P","872.56584","349.2021","798.5285","331.1915","872.5659","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:5;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;FEPJRDCFAVKLFW-FCFLYICHNA-N;C44H80NO11P","888.56075","365.197","814.5234","329.1758","347.1864","888.5607","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;LTUDCFCGVVFXEG-SFRSRXBUNA-N;C46H82NO8P","866.59166","343.2279","792.5543","866.5917","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_22:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;KYNJLURZZBZZKP-SFRSRXBUNA-N;C46H84NO9P","884.60222","361.2384","810.5649","325.2173","343.2279","884.6022","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;FVSVWBISFIMTNV-NNIXSGKTNA-N;C46H82NO8P","866.59166","343.2279","792.5543","325.2173","866.5917","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_22:6;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;CEHNBLQUDBLVIT-GZAWIGRDNA-N;C46H82NO9P","882.58657","359.2228","808.5493","323.2017","341.2122","882.5865","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;DMGHACUNLHCZQY-NXWSQIDWNA-N;C46H82NO10P","898.58149","375.2177","824.5442","339.1966","357.2072","898.5815","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;DXXVKWNPXVJRQR-PFKZLUTGNA-N;C46H82NO11P","914.57640","391.2126","840.5391","355.1915","373.2021","914.5764","448.3186","466.3292","224.0693"
