"MSDIAL_Ac2PIM2","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_Ac2PIM2 14:0_18:0(methyl);[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCC(C)CCCCCCCCC(=O)O%11;MJUFZFBQKALXAE-UHFFFAOYSA-N;C54H101O23P","1147.63931","849.3523","919.4305","985.5865","227.201","297.2792","621.1435","1147.639"
"MSDIAL_Ac2PIM2 15:0_14:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCC(=O)O%11;XRGHEXWVCDBSMV-UHFFFAOYSA-N;C50H93O23P","1091.57671","849.3523","863.3679","929.5239","227.201","241.2166","621.1435","1091.577"
"MSDIAL_Ac2PIM2 15:0_15:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCC(=O)O%11;YZZGIUMPOKEYBI-UHFFFAOYSA-N;C51H95O23P","1105.59236","241.2166","943.5396","621.1435","863.3679","1105.592","1","1"
"MSDIAL_Ac2PIM2 15:0_16:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCC(=O)O%11;GSAGXZRETSXMQK-UHFFFAOYSA-N;C52H97O23P","1119.60801","863.3679","877.3835","957.5552","241.2166","255.2323","621.1435","1119.608"
"MSDIAL_Ac2PIM2 15:0_17:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCC(=O)O%11;ROMQZHJONRETFJ-UHFFFAOYSA-N;C53H99O23P","1133.62366","863.3679","891.3992","971.5709","241.2166","269.2479","621.1435","1133.624"
"MSDIAL_Ac2PIM2 15:0_18:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCC(=O)O%11;UFNXARSHZNGBHK-UHFFFAOYSA-N;C54H101O23P","1147.63931","863.3679","905.4149","985.5865","241.2166","283.2635","621.1435","1147.639"
"MSDIAL_Ac2PIM2 15:0_19:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCC(=O)O%11;NWBMLAMAQQTLKL-UHFFFAOYSA-N;C55H103O23P","1161.65496","863.368","919.4305","999.6021","241.2166","297.2792","621.1435","1161.655"
"MSDIAL_Ac2PIM2 15:0_20:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCCC(=O)O%11;CBXSVBMDYVNBKF-UHFFFAOYSA-N;C56H105O23P","1175.67061","863.368","933.4462","1013.618","241.2166","311.2948","621.1436","1175.671"
"MSDIAL_Ac2PIM2 15:0_16:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCC\C=C/CCCCCC(=O)O%11;BIPWLLHKAZPXHK-ZPHPHTNESA-N;C52H95O23P","1117.59236","863.3679","875.3679","955.5396","241.2166","253.2166","621.1435","1117.592"
"MSDIAL_Ac2PIM2 15:0_17:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCC\C=C/CCCCCC(=O)O%11;KHJBRLKDWHHPFF-ZZEZOPTASA-N;C53H97O23P","1131.60801","863.3679","889.3835","969.5552","241.2166","267.2323","621.1435","1131.608"
