"MSDIAL_NAGly","[M-H]-","1","2","3","4","5"
"MSDIAL_NAGly 10:0/18:2;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;JIZYSMCHUQKXIW-SGJAMGDONA-N;C30H53NO5","506.38510","334.2388","506.3851","74.02475","171.1391","290.2489"
"MSDIAL_NAGly 10:0/18:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;YGWPAGQQROALLO-BUBOCCJUNA-N;C30H51NO5","504.36945","332.2231","504.3694","74.02475","171.1391","288.2333"
"MSDIAL_NAGly 10:0/19:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;HKXSYSIVZXRMCH-UHFFFAOYNA-N;C31H59NO5","524.43205","352.2857","524.4321","74.02475","171.1391","308.2959"
"MSDIAL_NAGly 10:0/19:1;[M-H]-;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;OEIRRGMSXXDLMD-NMWGTECJNA-N;C31H57NO5","522.41640","350.2701","522.4164","74.02475","171.1391","306.2802"
"MSDIAL_NAGly 10:0/19:2;[M-H]-;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;ZDUGHGDBQKEQNY-XFJMXBJTNA-N;C31H55NO5","520.40075","348.2544","520.4008","74.02475","171.1391","304.2646"
"MSDIAL_NAGly 10:0/20:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;NMKALVYJTQSLFF-UHFFFAOYNA-N;C32H61NO5","538.44770","366.3014","538.4477","74.02475","171.1391","322.3116"
"MSDIAL_NAGly 10:0/20:1;[M-H]-;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;OALQNHPYRAZUON-GFMRDNFCNA-N;C32H59NO5","536.43205","364.2857","536.4321","74.02475","171.1391","320.2959"
"MSDIAL_NAGly 10:0/20:2;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FHXOVICKICGADN-XQFMOLSUNA-N;C32H57NO5","534.41640","362.2701","534.4164","74.02475","171.1391","318.2802"
"MSDIAL_NAGly 10:0/20:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;CBVFLAHKNZLDCO-USMXPWDYNA-N;C32H55NO5","532.40075","360.2544","532.4008","74.02475","171.1391","316.2646"
"MSDIAL_NAGly 10:0/20:4;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;VYTVPKZQQRANGB-KUXSOFBKNA-N;C32H53NO5","530.38510","358.2388","530.3851","74.02475","171.1391","314.2489"
"MSDIAL_NAGly 10:0/21:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;XZDUGSASJHAJJJ-UHFFFAOYNA-N;C33H63NO5","552.46335","380.317","552.4634","74.02475","171.1391","336.3272"
"MSDIAL_NAGly 10:0/21:1;[M-H]-;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5","550.44770","378.3014","550.4477","74.02475","171.1391","334.3116"
"MSDIAL_NAGly 10:0/21:2;[M-H]-;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5","548.43205","376.2857","548.4321","74.02475","171.1391","332.2959"
"MSDIAL_NAGly 10:0/22:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;UHZDSABXOZWVHC-UHFFFAOYNA-N;C34H65NO5","566.47900","394.3327","566.479","74.02475","171.1391","350.3428"
"MSDIAL_NAGly 10:0/22:1;[M-H]-;OC(=O)CN%20.CCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;YLDSKFZNUJNTCD-PEZBUJJGNA-N;C34H63NO5","564.46335","392.317","564.4634","74.02475","171.1391","348.3272"
"MSDIAL_NAGly 10:0/22:2;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;PZJMXWGEGHDBQY-HWXYQOBYNA-N;C34H61NO5","562.44770","390.3014","562.4477","74.02475","171.1391","346.3116"
"MSDIAL_NAGly 10:0/22:3;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\C/C=C\C%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;RXAPREKPRIDTTB-WYUJFRCANA-N;C34H59NO5","560.43205","388.2857","560.4321","74.02475","171.1391","344.2959"
"MSDIAL_NAGly 10:0/22:4;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;HXEMQCOJKGHRTI-AITVBMPKNA-N;C34H57NO5","558.41640","386.2701","558.4164","74.02475","171.1391","342.2802"
"MSDIAL_NAGly 10:0/22:5;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C%10CCCCC(=O)%20.CCCCCCCCCC(=O)O%10;CDFQSFSSXFIRBL-SDDLPGHANA-N;C34H55NO5","556.40075","384.2544","556.4008","74.02475","171.1391","340.2646"
"MSDIAL_NAGly 10:0/23:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;SFEUQEMGYNHGJE-UHFFFAOYNA-N;C35H67NO5","580.49465","408.3483","580.4946","74.02475","171.1391","364.3585"
"MSDIAL_NAGly 10:0/24:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;MNEKCOAHPXBNJS-UHFFFAOYNA-N;C36H69NO5","594.51030","422.364","594.5103","74.02475","171.1391","378.3741"
"MSDIAL_NAGly 10:0/24:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;MNSQPBJQAIZMJM-VLGSPTGONA-N;C36H67NO5","592.49465","420.3483","592.4946","74.02475","171.1391","376.3585"
"MSDIAL_NAGly 10:0/24:2;[M-H]-;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DUJDAILTQYJDDW-OICJTPSNNA-N;C36H65NO5","590.47900","418.3327","590.479","74.02475","171.1391","374.3428"
"MSDIAL_NAGly 10:0/24:4;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\CCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;AKQIRDRHZHTQKX-OCKHJZJCNA-N;C36H61NO5","586.44770","414.3014","586.4477","74.02475","171.1391","370.3116"
"MSDIAL_NAGly 10:0/25:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;KAGJWEHEQNVFEK-UHFFFAOYNA-N;C37H71NO5","608.52595","436.3796","608.5259","74.02475","171.1391","392.3898"
"MSDIAL_NAGly 10:0/26:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;ITODAZOFDJIKOU-UHFFFAOYNA-N;C38H73NO5","622.54160","450.3953","622.5416","74.02475","171.1391","406.4054"
"MSDIAL_NAGly 10:0/26:1;[M-H]-;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;ZBBONSKEGQTPQW-MSUUIHNZNA-N;C38H71NO5","620.52595","448.3796","620.5259","74.02475","171.1391","404.3898"
"MSDIAL_NAGly 10:0/26:2;[M-H]-;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUNLCXBIVVTTJD-AUGURXLVNA-N;C38H69NO5","618.51030","446.364","618.5103","74.02475","171.1391","402.3741"
"MSDIAL_NAGly 10:0/26:4;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;NFJRTDROHIXCTA-XWVIRPHINA-N;C38H65NO5","614.47900","442.3327","614.479","74.02475","171.1391","398.3428"
"MSDIAL_NAGly 11:0/10:0;[M-H]-;OC(=O)CN%20.CCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KXDULMCLQHDNPT-UHFFFAOYNA-N;C23H43NO5","412.30685","226.1449","412.3069","74.02475","182.155","185.1547"
"MSDIAL_NAGly 11:0/11:0;[M-H]-;OC(=O)CN%20.CCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;DRXSXGBOXHRISR-UHFFFAOYNA-N;C24H45NO5","426.32250","240.1605","426.3225","74.02475","185.1547","196.1707"
"MSDIAL_NAGly 11:0/12:0;[M-H]-;OC(=O)CN%20.CCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;VUNYPBWWTRCBMS-UHFFFAOYNA-N;C25H47NO5","440.33815","254.1762","440.3381","74.02475","185.1547","210.1863"
"MSDIAL_NAGly 11:0/13:0;[M-H]-;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;LJNXTJGFXZPWAU-UHFFFAOYNA-N;C26H49NO5","454.35380","268.1918","454.3538","74.02475","185.1547","224.202"
"MSDIAL_NAGly 11:0/13:1;[M-H]-;OC(=O)CN%20.CCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;XYSJGBHSABYVJO-JXAWBTAJNA-N;C26H47NO5","452.33815","266.1762","452.3381","74.02475","185.1547","222.1863"
"MSDIAL_NAGly 11:0/14:0;[M-H]-;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;YABZOKIYQPXLGL-UHFFFAOYNA-N;C27H51NO5","468.36945","282.2075","468.3694","74.02475","185.1547","238.2176"
"MSDIAL_NAGly 11:0/14:1;[M-H]-;OC(=O)CN%20.CCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KCCYGBXZSCFFQQ-CYVLTUHYNA-N;C27H49NO5","466.35380","280.1918","466.3538","74.02475","185.1547","236.202"
"MSDIAL_NAGly 11:0/15:0;[M-H]-;OC(=O)CN%20.CCCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;USZCTAQRNXPOSZ-UHFFFAOYNA-N;C28H53NO5","482.38510","296.2231","482.3851","74.02475","185.1547","252.2333"
"MSDIAL_NAGly 11:0/15:1;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;YNQGPIGNOWKDEY-SILNSSARNA-N;C28H51NO5","480.36945","294.2075","480.3694","74.02475","185.1547","250.2176"
"MSDIAL_NAGly 11:0/16:0;[M-H]-;OC(=O)CN%20.CCCCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KLMINDNITMLCPP-UHFFFAOYNA-N;C29H55NO5","496.40075","310.2388","496.4008","74.02475","185.1547","266.2489"
"MSDIAL_NAGly 11:0/16:1;[M-H]-;OC(=O)CN%20.CCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QAFFKQUBQKUWKP-FXBPSFAMNA-N;C29H53NO5","494.38510","308.2231","494.3851","74.02475","185.1547","264.2333"
"MSDIAL_NAGly 11:0/16:2;[M-H]-;OC(=O)CN%20.CCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;GTJRZKJIWOPDEL-HFMSQLAXNA-N;C29H51NO5","492.36945","306.2075","492.3694","74.02475","185.1547","262.2177"
"MSDIAL_NAGly 11:0/16:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C%10/C=C\CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;MTGOUGPIDYENOS-XEJVNOAGNA-N;C29H49NO5","490.35380","304.1918","490.3538","74.02475","185.1547","260.202"
"MSDIAL_NAGly 11:0/17:0;[M-H]-;OC(=O)CN%20.CCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;UDVQAHPFFTVQSR-UHFFFAOYNA-N;C30H57NO5","510.41640","324.2544","510.4164","74.02475","185.1547","280.2646"
"MSDIAL_NAGly 11:0/17:1;[M-H]-;OC(=O)CN%20.CCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;OPURZDYTCOFXHP-PYCFMQQDNA-N;C30H55NO5","508.40075","322.2388","508.4008","74.02475","185.1547","278.2489"
"MSDIAL_NAGly 11:0/17:2;[M-H]-;OC(=O)CN%20.CCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;DVAAQFCNWWYMHK-JPCDAXRKNA-N;C30H53NO5","506.38510","320.2231","506.3851","74.02475","185.1547","276.2333"
"MSDIAL_NAGly 11:0/18:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;BEBOEIXFSKVUQU-UHFFFAOYNA-N;C31H59NO5","524.43205","338.2701","524.4321","74.02475","185.1547","294.2802"
"MSDIAL_NAGly 11:0/18:1;[M-H]-;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;IGAZLJPXNZYGAF-NMWGTECJNA-N;C31H57NO5","522.41640","336.2544","522.4164","74.02475","185.1547","292.2646"
"MSDIAL_NAGly 11:0/18:2;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;VGIUNXRYCYFKCU-HULYRFHINA-N;C31H55NO5","520.40075","334.2388","520.4008","74.02475","185.1547","290.2489"
"MSDIAL_NAGly 11:0/18:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;JEBXRWYTCSOKKB-BTIKYTRQNA-N;C31H53NO5","518.38510","332.2231","518.3851","74.02475","185.1547","288.2333"
"MSDIAL_NAGly 11:0/19:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;RKIQOBJDSQWAEW-UHFFFAOYNA-N;C32H61NO5","538.44770","352.2857","538.4477","74.02475","185.1547","308.2959"
"MSDIAL_NAGly 11:0/19:1;[M-H]-;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;FNVBKCRBPHASID-GFMRDNFCNA-N;C32H59NO5","536.43205","350.2701","536.4321","74.02475","185.1547","306.2802"
"MSDIAL_NAGly 11:0/19:2;[M-H]-;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;IZIJPHWRUWZGDX-WXIXTLLANA-N;C32H57NO5","534.41640","348.2544","534.4164","74.02475","185.1547","304.2646"
"MSDIAL_NAGly 11:0/20:0;[M-H]-;OC(=O)CN%20.CCCCCCCCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;VILNZVOQCBSSPJ-UHFFFAOYNA-N;C33H63NO5","552.46335","366.3014","552.4634","74.02475","185.1547","322.3116"
"MSDIAL_NAGly 11:0/20:1;[M-H]-;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KNJXHOYMHVWMGX-DAFNUICNNA-N;C33H61NO5","550.44770","364.2857","550.4477","74.02475","185.1547","320.2959"
"MSDIAL_NAGly 11:0/20:2;[M-H]-;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;NMLSCBICIKUPQC-VWAGERAONA-N;C33H59NO5","548.43205","362.2701","548.4321","74.02475","185.1547","318.2802"
"MSDIAL_NAGly 11:0/20:3;[M-H]-;OC(=O)CN%20.CC/C=C\C/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;SXGAYEYBZIEDOS-MHOXPJKNNA-N;C33H57NO5","546.41640","360.2544","546.4164","74.02475","185.1547","316.2646"
