"MSDIAL_DLCL","[M-H]-","1","2","3","4","5","6"
"MSDIAL_DLCL 14:0_20:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C\CCCCCCCC;DDDKQARKRCBDKK-WUKNDPDINA-N;C43H84O15P2","901.52127","901.5212","152.9958","227.2016","309.2799","381.2048","463.283"
"MSDIAL_DLCL 14:0_20:2;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;FRWXAFJWAILSCP-BIXSNLIQNA-N;C43H82O15P2","899.50562","899.5056","152.9958","227.2016","307.2643","381.2048","461.2674"
"MSDIAL_DLCL 14:0_20:3;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC;XUIWWRYFYOBPQZ-NKTIKPMXNA-N;C43H80O15P2","897.48997","897.49","152.9958","227.2016","305.2486","381.2048","459.2517"
"MSDIAL_DLCL 14:0_20:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC;AGXAVUWUVILBHW-WNMCIRLGNA-N;C43H78O15P2","895.47432","895.4743","152.9958","227.2016","303.2329","381.2048","457.2361"
"MSDIAL_DLCL 14:0_20:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;OPVKBYWKXBTWSQ-NMJJPLBZNA-N;C43H76O15P2","893.45867","893.4587","152.9958","227.2016","301.2173","381.2048","455.2204"
"MSDIAL_DLCL 14:0_20:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C\C=C\C=C/C=C/C=C/C=C\CC;WFUWTYMWYLBJQK-RTPXXAAMNA-N;C43H74O15P2","891.44302","891.443","152.9958","227.2016","299.2017","381.2048","453.2048"
"MSDIAL_DLCL 14:0_22:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCC;OJFJBXVKVNMWHT-UHFFFAOYNA-N;C45H90O15P2","931.56822","931.5682","152.9958","227.2016","339.3268","381.2048","493.33"
"MSDIAL_DLCL 14:0_22:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCC\C=C\CCCCCCCC;QVQBSBAVWALCSG-WUKNDPDINA-N;C45H88O15P2","929.55257","929.5526","152.9958","227.2016","337.3112","381.2048","491.3143"
"MSDIAL_DLCL 14:0_22:2;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC;AZVIDZRBQGXCLK-BIXSNLIQNA-N;C45H86O15P2","927.53692","927.5369","152.9958","227.2016","335.2956","381.2048","489.2987"
"MSDIAL_DLCL 14:0_22:3;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;CIDMMLRPMZZANB-NKTIKPMXNA-N;C45H84O15P2","925.52127","925.5212","152.9958","227.2016","333.2799","381.2048","487.283"
"MSDIAL_DLCL 14:0_22:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC;GSQGYGPNCXPZDL-XZPUNJMMNA-N;C45H82O15P2","923.50562","923.5056","152.9958","227.2016","331.2643","381.2048","485.2674"
"MSDIAL_DLCL 14:0_22:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;ADRLOBCWGGIPQV-RMKSIFPTNA-N;C45H80O15P2","921.48997","921.49","152.9958","227.2016","329.2486","381.2048","483.2517"
"MSDIAL_DLCL 14:0_22:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;COVPOUQDLSXSBW-PAHVTNPFNA-N;C45H78O15P2","919.47432","919.4743","152.9958","227.2016","327.2329","381.2048","481.2361"
