MLCL,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,T3_RCOO-,T4_OH-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R1+R2)+56+18,LPA(R3+R4),LPA(R3+R4)+56,LPA(R3+R4)+136
MLCL(12:0_16:0_18:3)-H,1079.657034,152.995833,171.006398,199.170354,255.232954,277.217304,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,431.220413,487.246627,567.212958
MLCL(12:0_16:0_18:4)-H,1077.641384,152.995833,171.006398,199.170354,255.232954,275.201654,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,429.204763,485.230977,565.197308
MLCL(12:0_16:0_18:5)-H,1075.625734,152.995833,171.006398,199.170354,255.232954,273.186004,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,427.189113,483.215327,563.181658
MLCL(12:0_16:0_20:0)-H,1113.735284,152.995833,171.006398,199.170354,255.232954,311.295554,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,465.298663,521.324877,601.291208
MLCL(12:0_16:0_20:1)-H,1111.719634,152.995833,171.006398,199.170354,255.232954,309.279904,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,463.283013,519.309227,599.275558
MLCL(12:0_16:0_20:2)-H,1109.703984,152.995833,171.006398,199.170354,255.232954,307.264254,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,461.267363,517.293577,597.259908
MLCL(12:0_16:0_20:3)-H,1107.688334,152.995833,171.006398,199.170354,255.232954,305.248604,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,459.251713,515.277927,595.244258
MLCL(12:0_16:0_20:4)-H,1105.672684,152.995833,171.006398,199.170354,255.232954,303.232954,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,457.236063,513.262277,593.228608
MLCL(12:0_16:0_20:5)-H,1103.657034,152.995833,171.006398,199.170354,255.232954,301.217304,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,455.220413,511.246627,591.212958
MLCL(12:0_16:0_22:0)-H,1141.766584,152.995833,171.006398,199.170354,255.232954,339.326854,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,493.329963,549.356177,629.322508
MLCL(12:0_16:0_22:1)-H,1139.750934,152.995833,171.006398,199.170354,255.232954,337.311204,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,491.314313,547.340527,627.306858
MLCL(12:0_16:0_22:2)-H,1137.735284,152.995833,171.006398,199.170354,255.232954,335.295554,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,489.298663,545.324877,625.291208
MLCL(12:0_16:0_22:3)-H,1135.719634,152.995833,171.006398,199.170354,255.232954,333.279904,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,487.283013,543.309227,623.275558
MLCL(12:0_16:0_22:4)-H,1133.703984,152.995833,171.006398,199.170354,255.232954,331.264254,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,485.267363,541.293577,621.259908
MLCL(12:0_16:0_22:5)-H,1131.688334,152.995833,171.006398,199.170354,255.232954,329.248604,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,483.251713,539.277927,619.244258
MLCL(12:0_16:0_22:6)-H,1129.672684,152.995833,171.006398,199.170354,255.232954,327.232954,17.003288,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,721.466122,481.236063,537.262277,617.228608
MLCL(12:0_16:1_12:0)-H,999.594434,152.995833,171.006398,199.170354,253.217304,199.170354,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,353.173463,409.199677,489.166008
MLCL(12:0_16:1_14:0)-H,1027.625734,152.995833,171.006398,199.170354,253.217304,227.201654,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,381.204763,437.230977,517.197308
MLCL(12:0_16:1_14:1)-H,1025.610084,152.995833,171.006398,199.170354,253.217304,225.186004,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,379.189113,435.215327,515.181658
MLCL(12:0_16:1_16:0)-H,1055.657034,152.995833,171.006398,199.170354,253.217304,255.232954,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,409.236063,465.262277,545.228608
MLCL(12:0_16:1_16:1)-H,1053.641384,152.995833,171.006398,199.170354,253.217304,253.217304,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,407.220413,463.246627,543.212958
MLCL(12:0_16:1_16:2)-H,1051.625734,152.995833,171.006398,199.170354,253.217304,251.201654,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,405.204763,461.230977,541.197308
MLCL(12:0_16:1_16:3)-H,1049.610084,152.995833,171.006398,199.170354,253.217304,249.186004,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,403.189113,459.215327,539.181658
MLCL(12:0_16:1_16:4)-H,1047.594434,152.995833,171.006398,199.170354,253.217304,247.170354,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,401.173463,457.199677,537.166008
MLCL(12:0_16:1_18:0)-H,1083.688334,152.995833,171.006398,199.170354,253.217304,283.264254,17.003288,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,719.450472,437.267363,493.293577,573.259908
