"MSDIAL_OxPC","[M+HCOO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 16:0_20:3;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;NJHGFFOICHJLQM-OHXZNRDZNA-N;C44H82NO11P","876.56075","816.5391","255.2323","317.2122","335.2228","876.5607","224.0693","353.2333"
"MSDIAL_PC 16:0_20:3;4O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;ZCBZROAATVFHPH-OHXZNRDZNA-N;C44H82NO12P","892.55567","832.534","255.2323","892.5557","224.0693","333.2072","351.2177","369.2283"
"MSDIAL_PC 16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;IVTVKFZMSCWBFZ-HDODKALONA-N;C44H80NO9P","842.55527","782.5336","255.2323","301.2173","842.5553","224.0693","319.2279","1"
"MSDIAL_PC 16:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;SZDKBZLOHMRZNB-YHCDNZRJNA-N;C44H78NO9P","840.53962","780.5179","255.2323","317.2122","840.5396","224.0693","1","1"
"MSDIAL_PC 16:0_20:4;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;ISVVFRURFMPILX-NZCHXKNONA-N;C44H80NO10P","858.55019","317.2122","798.5285","255.2323","299.2017","335.2228","858.5502","224.0693"
"MSDIAL_PC 16:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;SXJADPAIOAYMOE-FRKKBADQNA-N;C44H80NO11P","874.54510","814.5234","255.2323","315.1966","333.2072","874.5451","224.0693","351.2177"
"MSDIAL_PC 16:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;NCOZKUUQRFXFFY-OHXZNRDZNA-N;C44H80NO11P","874.54510","814.5234","255.2323","874.5451","224.0693","333.2072","351.2177","1"
"MSDIAL_PC 16:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;JLQNIYHJYGGZCO-VFQRZMKENA-N;C44H80NO12P","890.54002","830.5183","255.2323","890.54","224.0693","331.1915","349.2021","367.2126"
"MSDIAL_PC 16:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;GKDVKFZTLGHDED-OHXZNRDZNA-N;C44H80NO12P","890.54002","830.5183","255.2323","349.2021","331.1915","890.54","224.0693","367.2126"
"MSDIAL_PC 16:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;OGYHTRAWQNGVGR-JIPIXUIUNA-N;C44H78NO9P","840.53962","780.5179","255.2323","299.2017","840.5396","224.0693","317.2122","1"
"MSDIAL_PC 16:0_20:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;KAYOOLHHJRBXJV-AOXNOZDCNA-N;C44H76NO9P","838.52397","778.5023","255.2323","315.1966","838.524","224.0693","1","1"
"MSDIAL_PC 16:0_20:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;NWCBZUVIDGMFNX-LXGJOOCFNA-N;C44H78NO10P","856.53454","315.1966","796.5129","255.2323","297.186","333.2071","856.5345","224.0693"
"MSDIAL_PC 16:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;JCBBPKSECDQNGE-PDMXZTDENA-N;C44H78NO11P","872.52945","812.5078","255.2323","313.1809","331.1915","872.5295","224.0693","349.2021"
"MSDIAL_PC 16:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;AKZKOUYAVQNDKJ-VFQRZMKENA-N;C44H78NO11P","872.52945","812.5078","255.2323","872.5295","224.0693","331.1915","349.2021","1"
"MSDIAL_PC 16:0_20:5;4O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;CFWPBJBBOMABKR-VFQRZMKENA-N;C44H78NO12P","888.52437","828.5027","255.2323","347.1864","329.1758","888.5244","224.0693","365.197"
