"MSDIAL_PI_Cer","[M-H]-","1","2","3","4","5"
"MSDIAL_PI-Cer 12:0;2O/12:0;O;[M-H]-;CCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCC;KFWGWHFLQAWHEI-UHFFFAOYNA-N;C30H60NO12P","656.37804","656.3781","458.215","494.3252","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/12:1;O;[M-H]-;CCCCCCCCCC(O)C(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)NC(=O)CC(O)C\C=C/CCCCCC;PVZIRUNPLIENNT-SQFISAMPNA-N;C30H58NO12P","654.36239","654.3624","458.215","492.3096","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/13:0;O;[M-H]-;CCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCC;PWYMLGWGUNRYBB-UHFFFAOYNA-N;C31H62NO12P","670.39369","670.3937","458.215","508.3409","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/13:1;O;[M-H]-;CCCCCCCCCC(O)C(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)NC(=O)CC(O)CCCC\C=C/CCCC;XXOQUDUJNLOYLW-LUAWRHEFNA-N;C31H60NO12P","668.37804","668.3781","458.215","506.3252","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/14:0;O;[M-H]-;CCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCC;KFXUFSPEBNAZNH-UHFFFAOYNA-N;C32H64NO12P","684.40934","684.4094","458.215","522.3565","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/14:1;O;[M-H]-;CCCCCCCCCC(O)C(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)NC(=O)CC(O)CCCCC\C=C/CCCC;RYSRJXXSFBCPHW-LUAWRHEFNA-N;C32H62NO12P","682.39369","682.3937","458.215","520.3409","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/15:0;O;[M-H]-;CCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCC;VMDUVACHZZTYQS-UHFFFAOYNA-N;C33H66NO12P","698.42499","698.425","458.215","536.3721","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/15:1;O;[M-H]-;CCCCCCCCCC(O)C(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)NC(=O)CC(O)CCCCC\C=C/CCCCC;BFHPMRGEGCDMIR-QXMHVHEDNA-N;C33H64NO12P","696.40934","696.4094","458.215","534.3565","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/16:0;O;[M-H]-;CCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCC;PCGOYZLKMBVIGW-UHFFFAOYNA-N;C34H68NO12P","712.44064","712.4406","458.215","550.3878","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/16:1;O;[M-H]-;CCCCCCCCCC(O)C(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)NC(=O)CC(O)CCC\C=C/CCCCCCCC;GJCBCAPZLBRMIK-PEZBUJJGNA-N;C34H66NO12P","710.42499","710.425","458.215","548.3721","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/16:2;O;[M-H]-;CCCCCCCCCC(O)C(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)NC(=O)CC(O)\C=C/C\C=C/CCCCCCCC;SYWHVPUAOZEXOA-RQFBBQCGNA-N;C34H64NO12P","708.40934","708.4094","458.215","546.3565","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/17:0;O;[M-H]-;CCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCC;VDDMILWARXTSEJ-UHFFFAOYNA-N;C35H70NO12P","726.45629","726.4563","458.215","564.4034","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/18:0;O;[M-H]-;CCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCC;NQYCDZFGSUKTLV-UHFFFAOYNA-N;C36H72NO12P","740.47194","740.4719","458.215","578.4191","78.95905","241.0119"
"MSDIAL_PI-Cer 12:0;2O/18:1;O;[M-H]-;CCCCCCCCCC(O)C(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)NC(=O)CC(O)CCCCCCC\C=C/CCCCCC;RNTBUXDPQCHCOG-SEYXRHQNNA-N;C36H70NO12P","738.45629","738.4563","458.215","576.4034","78.95905","241.0119"
