DLCL-BPMlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T3_RCOO-,LPA(R1),LPA(R1)+56,LPA(R1)+136,LPA(R1)+56+18,LPA(R3),LPA(R3)+56,LPA(R3)+136,LPA(R3)+56+18
DLCL-BMPlike(8:0_22:4)-H,839.411717,152.995833,171.006398,143.107753,331.264254,297.110862,353.137076,433.103407,371.147641,485.267363,541.293577,621.259908,559.304142
DLCL-BMPlike(8:0_22:5)-H,837.396067,152.995833,171.006398,143.107753,329.248604,297.110862,353.137076,433.103407,371.147641,483.251713,539.277927,619.244258,557.288492
DLCL-BMPlike(8:0_22:6)-H,835.380417,152.995833,171.006398,143.107753,327.232954,297.110862,353.137076,433.103407,371.147641,481.236063,537.262277,617.228608,555.272842
DLCL-BMPlike(8:0_23:0)-H,861.489967,152.995833,171.006398,143.107753,353.342504,297.110862,353.137076,433.103407,371.147641,507.345613,563.371827,643.338158,581.382392
DLCL-BMPlike(8:0_24:0)-H,875.505617,152.995833,171.006398,143.107753,367.358154,297.110862,353.137076,433.103407,371.147641,521.361263,577.387477,657.353808,595.398042
DLCL-BMPlike(8:0_24:1)-H,873.489967,152.995833,171.006398,143.107753,365.342504,297.110862,353.137076,433.103407,371.147641,519.345613,575.371827,655.338158,593.382392
DLCL-BMPlike(8:0_25:0)-H,889.521267,152.995833,171.006398,143.107753,381.373804,297.110862,353.137076,433.103407,371.147641,535.376913,591.403127,671.369458,609.413692
DLCL-BMPlike(8:0_26:0)-H,903.536917,152.995833,171.006398,143.107753,395.389454,297.110862,353.137076,433.103407,371.147641,549.392563,605.418777,685.385108,623.429342
DLCL-BMPlike(10:0_8:0)-H,679.286517,152.995833,171.006398,171.139054,143.107753,325.142163,381.168377,461.134708,399.178942,297.110862,353.137076,433.103407,371.147641
DLCL-BMPlike(10:0_10:0)-H,707.317818,152.995833,171.006398,171.139054,171.139054,325.142163,381.168377,461.134708,399.178942,325.142163,381.168377,461.134708,399.178942
DLCL-BMPlike(10:0_12:0)-H,735.349118,152.995833,171.006398,171.139054,199.170354,325.142163,381.168377,461.134708,399.178942,353.173463,409.199677,489.166008,427.210242
DLCL-BMPlike(10:0_13:0)-H,749.364768,152.995833,171.006398,171.139054,213.186004,325.142163,381.168377,461.134708,399.178942,367.189113,423.215327,503.181658,441.225892
DLCL-BMPlike(10:0_14:0)-H,763.380418,152.995833,171.006398,171.139054,227.201654,325.142163,381.168377,461.134708,399.178942,381.204763,437.230977,517.197308,455.241542
DLCL-BMPlike(10:0_14:1)-H,761.364768,152.995833,171.006398,171.139054,225.186004,325.142163,381.168377,461.134708,399.178942,379.189113,435.215327,515.181658,453.225892
DLCL-BMPlike(10:0_15:0)-H,777.396068,152.995833,171.006398,171.139054,241.217304,325.142163,381.168377,461.134708,399.178942,395.220413,451.246627,531.212958,469.257192
DLCL-BMPlike(10:0_15:1)-H,775.380418,152.995833,171.006398,171.139054,239.201654,325.142163,381.168377,461.134708,399.178942,393.204763,449.230977,529.197308,467.241542
