"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_DCAE","[M-H]-","1","2","3","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_DCAE","[M-H]-","1","2","3","RT_min","RT_max","Comment","Number of Scans","MSDIAL_DCAE","[M-H]-","1","2","3","RT_min","RT_max","Comment","Max Intensity","MSDIAL_DCAE","[M-H]-","1","2","3","RT_min","RT_max","Comment","Average m/z","MSDIAL_DCAE","[M-H]-","1","2","3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_DCAE","[M-H]-","1","2","3","RT_min","RT_max","Comment"
"","MSDIAL_ST 24:1;O4/8:0;[M-H]-;CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;KBZYVKGUENRKIU-UHFFFAOYNA-N;C32H54O5",0,0,0,0,"1.43870606060606","1.73870606060606","3709","","MSDIAL_ST 24:1;O4/8:0;[M-H]-;CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;KBZYVKGUENRKIU-UHFFFAOYNA-N;C32H54O5",0,0,0,0,"1.43870606060606","1.73870606060606","3709","","MSDIAL_ST 24:1;O4/8:0;[M-H]-;CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;KBZYVKGUENRKIU-UHFFFAOYNA-N;C32H54O5",0,0,0,0,"1.43870606060606","1.73870606060606","3709","","MSDIAL_ST 24:1;O4/8:0;[M-H]-;CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;KBZYVKGUENRKIU-UHFFFAOYNA-N;C32H54O5",0,0,0,0,"1.43870606060606","1.73870606060606","3709","","MSDIAL_ST 24:1;O4/8:0;[M-H]-;CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;KBZYVKGUENRKIU-UHFFFAOYNA-N;C32H54O5",0,0,0,0,"1.43870606060606","1.73870606060606","3709","","MSDIAL_ST 24:1;O4/8:0;[M-H]-;CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;KBZYVKGUENRKIU-UHFFFAOYNA-N;C32H54O5","517.38985","517.3898","143.1078","373.2748","1.43870606060606","1.73870606060606","3709"
"","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.40477878787879","2.70477878787879","974","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.40477878787879","2.70477878787879","974","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.40477878787879","2.70477878787879","974","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.40477878787879","2.70477878787879","974","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.40477878787879","2.70477878787879","974","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5","573.45245","573.4525","199.1703","373.2748","2.40477878787879","2.70477878787879","974"
"","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"1.62737424242424","1.92737424242424","2946","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"1.62737424242424","1.92737424242424","2946","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"1.62737424242424","1.92737424242424","2946","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"1.62737424242424","1.92737424242424","2946","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"1.62737424242424","1.92737424242424","2946","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5","573.45245","573.4525","199.1703","373.2748","1.62737424242424","1.92737424242424","2946"
"","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.97895606060606","3.27895606060606","3102","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.97895606060606","3.27895606060606","3102","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.97895606060606","3.27895606060606","3102","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.97895606060606","3.27895606060606","3102","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5",0,0,0,0,"2.97895606060606","3.27895606060606","3102","","MSDIAL_ST 24:1;O4/12:0;[M-H]-;CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=O)C4(C)C(O)CC23)C1;UYEDYUMWUKRZOV-UHFFFAOYNA-N;C36H62O5","573.45245","573.4525","199.1703","373.2748","2.97895606060606","3.27895606060606","3102"
