"MSDIAL_CerP","[M+H]+","1","2","3","4","5","6"
"MSDIAL_CerP 14:1;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;FOYVTZHAZNMFOU-NBNLIBPQSA-N;C28H56NO6P","534.39234","534.3923","208.2064","516.3818","418.4049","436.4154","454.426"
"MSDIAL_CerP 14:1;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;VOIOEKRVOBQEAM-VARSQMIESA-N;C30H60NO6P","562.42365","562.4236","208.2064","544.4131","446.4362","464.4467","482.4573"
"MSDIAL_CerP 14:1;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;UIMUQAANESGSES-JHRQRACZSA-N;C32H64NO6P","590.45496","590.455","208.2064","572.4444","474.4675","492.4781","510.4886"
"MSDIAL_CerP 14:1;2O/18:1;[M+H]+;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;TVBCRFLVBZEPQZ-IHMINBDXSA-N;C32H62NO6P","588.43928","588.4393","208.2064","570.4287","472.4518","490.4624","508.473"
"MSDIAL_CerP 14:1;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;FCPDLCZLMUFQGL-TURZORIXSA-N;C34H68NO6P","618.48627","618.4863","208.2064","600.4757","502.4988","520.5094","538.52"
"MSDIAL_CerP 14:1;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;BGCZEGRYVMWUCS-NXCSZAMKSA-N;C36H72NO6P","646.51752","646.5175","208.2064","628.507","530.5301","548.5406","566.5512"
"MSDIAL_CerP 14:1;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;RGDFAMHWGOAXOB-NUKVNZTCSA-N;C38H76NO6P","674.54884","674.5488","208.2064","656.5383","558.5614","576.572","594.5825"
"MSDIAL_CerP 14:1;2O/24:1;[M+H]+;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;GHBKYWUYIWIRDK-HJOGSYLWSA-N;C38H74NO6P","672.53321","672.5332","208.2064","654.5226","556.5458","574.5563","592.5669"
"MSDIAL_CerP 14:1;2O/24:4;[M+H]+;CCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;DNEWAORWUJMUOB-LUZZLTFZSA-N;C38H68NO6P","666.48627","666.4863","208.2064","648.4757","550.4988","568.5094","586.52"
"MSDIAL_CerP 14:1;2O/26:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;QPORMHOOUOBGND-GLQCRSEXSA-N;C40H80NO6P","702.58015","702.5801","208.2064","684.5696","586.5927","604.6033","622.6138"
"MSDIAL_CerP 14:1;2O/26:1;[M+H]+;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;GCNLJSYSVDGZLM-IDTKWKHMSA-N;C40H78NO6P","700.56452","700.5645","208.2064","682.554","584.5771","602.5876","620.5982"
"MSDIAL_CerP 15:0;2O/2:0;[M+H]+;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;BITFRLKDLIIUNH-DLBZAZTESA-N;C17H36NO6P","382.23585","382.2358","224.2377","364.2253","266.2484","284.2589","302.2695"
"MSDIAL_CerP 15:0;2O/10:0;[M+H]+;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;ITQQIFQHZUHJND-BJKOFHAPSA-N;C25H52NO6P","494.36103","494.361","224.2377","476.3505","378.3736","396.3841","414.3947"
