"MSDIAL_OxPI","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_PI 16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;GFFQEFBOLBUUNT-RVKPKNHYNA-N;C45H81O16P","907.51895","907.5189","317.2122","335.2228","241.0119","255.2323","297.0381","353.2333"
"MSDIAL_PI 16:0_20:3;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;QGTCZMZMXXGVHA-RVKPKNHYNA-N;C45H81O17P","923.51386","923.5139","333.2072","351.2177","241.0119","255.2323","297.0381","369.2283"
"MSDIAL_PI 16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;WKZUKIPVAXNGMQ-NUEBGIOVNA-N;C45H79O14P","873.51347","873.5135","301.2173","241.0119","255.2323","297.0381","319.2279","1"
"MSDIAL_PI 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;ACOMEQDZFZLSCG-YLXZKDRHNA-N;C45H77O14P","871.49782","871.4978","241.0119","255.2323","297.0381","317.2122","1","1"
"MSDIAL_PI 16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;NUVXAZDFMNVREW-WIPZEKEANA-N;C45H79O15P","889.50838","889.5084","299.2017","317.2122","241.0119","255.2323","297.0381","335.2228"
"MSDIAL_PI 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;ONIDDGZTAMHXSO-KVBJYXNONA-N;C45H79O16P","905.50330","905.5033","315.1966","333.2072","241.0119","255.2323","297.0381","351.2177"
"MSDIAL_PI 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;IFDNNODEPHMYCE-RVKPKNHYNA-N;C45H79O16P","905.50330","905.5033","333.2072","241.0119","255.2323","297.0381","351.2177","1"
"MSDIAL_PI 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;LKCLHDBWZSUQQD-OKAHKNJDNA-N;C45H79O17P","921.49821","921.4982","331.1915","349.2021","241.0119","255.2323","297.0381","367.2126"
"MSDIAL_PI 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;YGSCCLBLANMXLP-RVKPKNHYNA-N;C45H79O17P","921.49821","921.4982","331.1915","349.2021","241.0119","255.2323","297.0381","367.2126"
"MSDIAL_PI 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;HFLJUBRGJINWHH-XAZUFWHMNA-N;C45H77O14P","871.49782","871.4978","299.2017","241.0119","255.2323","297.0381","317.2122","1"
