"MSDIAL_EtherLPC","[M+H]+","1","2","3","4","5"
"MSDIAL_LPC O-16:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RVERNDUNLIDEIZ-QNEBEIHSNA-N;C24H46NO6P","476.31355","104.107","184.0739","476.3135","86.09697","125.0004"
"MSDIAL_LPC O-16:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;NMMCJAOUKORQEV-DOFZRALJNA-N;C24H44NO6P","474.29790","104.107","184.0739","474.2979","86.09697","125.0004"
"MSDIAL_LPC O-17:0;[M+H]+;CCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;HQRBTQCLRRUGMR-UHFFFAOYNA-N;C25H54NO6P","496.37615","104.107","184.0739","496.3762","86.09697","125.0004"
"MSDIAL_LPC O-17:1;[M+H]+;CCCCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;AIQKMAPJIWWYJU-QXMHVHEDNA-N;C25H52NO6P","494.36050","104.107","184.0739","494.3605","86.09697","125.0004"
"MSDIAL_LPC O-17:2;[M+H]+;CCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;BLXWEWWMBOBOBD-MURFETPANA-N;C25H50NO6P","492.34485","104.107","184.0739","492.3448","86.09697","125.0004"
"MSDIAL_LPC O-18:0;[M+H]+;CCCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XKBJVQHMEXMFDZ-UHFFFAOYNA-N;C26H56NO6P","510.39180","104.107","184.0739","510.3918","86.09697","125.0004"
"MSDIAL_LPC O-18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XWYSLMAMRKYUFH-SEYXRHQNNA-N;C26H54NO6P","508.37615","104.107","184.0739","508.3762","86.09697","125.0004"
"MSDIAL_LPC O-18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VUODGUFFBSVRDR-UTJQPWESNA-N;C26H52NO6P","506.36050","104.107","184.0739","506.3605","86.09697","125.0004"
"MSDIAL_LPC O-18:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LUCVKWZRSAKNBV-QNEBEIHSNA-N;C26H50NO6P","504.34485","104.107","184.0739","504.3448","86.09697","125.0004"
"MSDIAL_LPC O-18:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;DRYGTPZUDVGRHS-DOFZRALJNA-N;C26H48NO6P","502.32920","104.107","184.0739","502.3292","86.09697","125.0004"
"MSDIAL_LPC O-18:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;BAAQMDVCICBIFI-WMPRHZDHNA-N;C26H46NO6P","500.31355","104.107","184.0739","500.3135","86.09697","125.0004"
"MSDIAL_LPC O-19:0;[M+H]+;CCCCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XPESREFDQRQDRB-UHFFFAOYNA-N;C27H58NO6P","524.40745","104.107","184.0739","524.4075","86.09697","125.0004"
"MSDIAL_LPC O-19:1;[M+H]+;CCCCCCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;GIHUINYOAININA-YPKPFQOONA-N;C27H56NO6P","522.39180","104.107","184.0739","522.3918","86.09697","125.0004"
"MSDIAL_LPC O-19:2;[M+H]+;CCCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;HFBNOMICPHIRHP-XVTLYKPTNA-N;C27H54NO6P","520.37615","104.107","184.0739","520.3762","86.09697","125.0004"
"MSDIAL_LPC O-20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;GZGHIJOEOOMFMM-UHFFFAOYNA-N;C28H60NO6P","538.42310","104.107","184.0739","538.4231","86.09697","125.0004"
"MSDIAL_LPC O-20:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;COFYPCHRMVFZHB-SEYXRHQNNA-N;C28H58NO6P","536.40745","104.107","184.0739","536.4075","86.09697","125.0004"
"MSDIAL_LPC O-20:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ZYUSQIZOBGSNEP-UTJQPWESNA-N;C28H56NO6P","534.39180","104.107","184.0739","534.3918","86.09697","125.0004"
"MSDIAL_LPC O-20:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SOHQAVWHDKNCBT-QNEBEIHSNA-N;C28H54NO6P","532.37615","104.107","184.0739","532.3762","86.09697","125.0004"
"MSDIAL_LPC O-20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;OSEQVDRUIKKGKD-DOFZRALJNA-N;C28H52NO6P","530.36050","104.107","184.0739","530.3605","86.09697","125.0004"
"MSDIAL_LPC O-20:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;KGYGCSNPKDYFID-WMPRHZDHNA-N;C28H50NO6P","528.34485","104.107","184.0739","528.3448","86.09697","125.0004"
