"MSDIAL_MLCL","[M-H]-","1","2","3","4","5","6"
"MSDIAL_MLCL 14:0_14:0_22:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;HKVKOPWAJFFXJW-JWGNYCBONA-N;C59H108O16P2","1133.70398","1133.704","152.9958","485.2674","591.4031","227.2016","331.2643"
"MSDIAL_MLCL 14:0_14:0_22:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;NUTCBAXXANTQFE-AKKLHSLLNA-N;C59H106O16P2","1131.68833","1131.688","152.9958","483.2517","591.4031","227.2016","329.2486"
"MSDIAL_MLCL 14:0_14:0_22:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;ZTXCHXDDSKZOAY-UZOHDRCFNA-N;C59H104O16P2","1129.67268","1129.673","152.9958","481.2361","591.4031","227.2016","327.2329"
"MSDIAL_MLCL 14:0_14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;YRFZKZBBGQXHAV-PEVJWSCSNA-N;C61H112O16P2","1161.73529","1161.735","152.9958","513.2986","591.4031","227.2016","359.2956"
"MSDIAL_MLCL 14:0_14:0_24:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;ZXOSYBHERRIBLO-SWRZEBKHNA-N;C61H110O16P2","1159.71963","1159.72","152.9958","511.283","591.4031","227.2016","357.2799"
"MSDIAL_MLCL 14:0_14:0_24:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;PMEKKZSVTPCVTC-VIDJFIAWNA-N;C61H108O16P2","1157.70398","1157.704","152.9958","509.2674","591.4031","227.2016","355.2643"
"MSDIAL_MLCL 14:0_14:0_26:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;OVAGJADAZMLSJC-PEVJWSCSNA-N;C63H116O16P2","1189.76659","1189.767","152.9958","541.33","591.4031","227.2016","387.3268"
"MSDIAL_MLCL 14:0_14:0_26:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;YMPTYAXSQQNRNW-SWRZEBKHNA-N;C63H114O16P2","1187.75094","1187.751","152.9958","539.3143","591.4031","227.2016","385.3112"
"MSDIAL_MLCL 14:0_14:0_26:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;WKZVXRYFWWFLOU-RRGCYIAVNA-N;C63H112O16P2","1185.73529","1185.735","152.9958","537.2986","591.4031","227.2016","383.2956"
"MSDIAL_MLCL 14:0_14:0_28:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;KYEWEVXTQXBDIF-PEVJWSCSNA-N;C65H120O16P2","1217.79789","1217.798","152.9958","569.3613","591.4031","227.2016","415.3582"
"MSDIAL_MLCL 14:0_14:0_28:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;VQFPTJMGLDMKAD-SWRZEBKHNA-N;C65H118O16P2","1215.78224","1215.782","152.9958","567.3456","591.4031","227.2016","413.3425"
"MSDIAL_MLCL 14:0_14:0_28:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;PUSLZHSHGOSBDX-RRGCYIAVNA-N;C65H116O16P2","1213.76659","1213.767","152.9958","565.33","591.4031","227.2016","411.3268"
"MSDIAL_MLCL 14:0_14:0_30:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;OJQQNYTWCUMUNJ-PEVJWSCSNA-N;C67H124O16P2","1245.82919","1245.829","152.9958","591.4031","597.3926","227.2016","443.3894"
"MSDIAL_MLCL 14:0_14:0_30:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;FLQXFESFYLMAKJ-SWRZEBKHNA-N;C67H122O16P2","1243.81354","1243.814","152.9958","591.4031","595.3769","227.2016","441.3738"
"MSDIAL_MLCL 14:0_14:0_30:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;ZAMBBOXXBFAHDU-RRGCYIAVNA-N;C67H120O16P2","1241.79789","1241.798","152.9958","591.4031","593.3613","227.2016","439.3582"
"MSDIAL_MLCL 14:0_14:0_32:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;GFTSWYDSWHZILZ-PEVJWSCSNA-N;C69H128O16P2","1273.86049","1273.86","152.9958","591.4031","625.4239","227.2016","471.4207"
"MSDIAL_MLCL 14:0_14:0_32:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;SHSFFKPSGOTLQB-SWRZEBKHNA-N;C69H126O16P2","1271.84484","1271.845","152.9958","591.4031","623.4082","227.2016","469.4051"
"MSDIAL_MLCL 14:0_14:0_32:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;YRISMIBTUFXFCK-RRGCYIAVNA-N;C69H124O16P2","1269.82919","1269.829","152.9958","591.4031","621.3926","227.2016","467.3894"
"MSDIAL_MLCL 14:0_14:0_34:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;RGFRLPAZVGEHIB-PEVJWSCSNA-N;C71H132O16P2","1301.89179","1301.892","152.9958","591.4031","653.4552","227.2016","499.4521"
"MSDIAL_MLCL 14:0_14:0_34:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;AFFOFUIKVUYGMW-SWRZEBKHNA-N;C71H130O16P2","1299.87614","1299.876","152.9958","591.4031","651.4395","227.2016","497.4364"
"MSDIAL_MLCL 14:0_14:0_34:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;IYBHAPFVPOPQPP-RRGCYIAVNA-N;C71H128O16P2","1297.86049","1297.86","152.9958","591.4031","649.4239","227.2016","495.4207"
"MSDIAL_MLCL 14:0_14:0_36:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;ICIICJUMCWUJJX-PEVJWSCSNA-N;C73H136O16P2","1329.92309","1329.923","152.9958","591.4031","681.4865","227.2016","527.4833"
"MSDIAL_MLCL 14:0_14:0_36:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;UDYBVZYAYFZNOS-SWRZEBKHNA-N;C73H134O16P2","1327.90744","1327.907","152.9958","591.4031","679.4708","227.2016","525.4677"
"MSDIAL_MLCL 14:0_14:0_36:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;SAUSFOLCSXCQRG-RRGCYIAVNA-N;C73H132O16P2","1325.89179","1325.892","152.9958","591.4031","677.4552","227.2016","523.452"
"MSDIAL_MLCL 14:0_14:0_38:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;CMPTVMOBXZGXKX-PEVJWSCSNA-N;C75H140O16P2","1357.95439","1357.954","152.9958","591.4031","709.5178","227.2016","555.5146"
"MSDIAL_MLCL 14:0_14:0_38:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;LNHKEFDBJVTVKO-SWRZEBKHNA-N;C75H138O16P2","1355.93874","1355.939","152.9958","591.4031","707.5021","227.2016","553.499"
"MSDIAL_MLCL 14:0_14:0_38:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;HJVORSJPKOHJAC-RRGCYIAVNA-N;C75H136O16P2","1353.92309","1353.923","152.9958","591.4031","705.4865","227.2016","551.4833"
