OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-R1COOH]+,[M+H-R2COOH]+,[M+H-R3COOH]+
OxTG(18:0_18:1_20:4(Ke_or_Epoxy))+NH4,940.7964304,905.7593104,639.4983564,641.5139564,605.5503764
OxTG(18:0_18:2_20:4(Ke_or_Epoxy))+NH4,938.7807304,903.7436104,637.4826564,641.5139564,603.5346764
OxTG(18:0_18:3_20:4(Ke_or_Epoxy))+NH4,936.7651304,901.7280104,635.4670564,641.5139564,601.5190764
OxTG(18:0_18:4_20:4(Ke_or_Epoxy))+NH4,934.7494304,899.7123104,633.4513564,641.5139564,599.5033764
OxTG(18:0_20:4_20:4(Ke_or_Epoxy))+NH4,962.7807304,927.7436104,661.4826564,641.5139564,627.5346764
OxTG(18:0_20:5_20:4(Ke_or_Epoxy))+NH4,960.7651304,925.7280104,659.4670564,641.5139564,625.5190764
OxTG(18:0_22:5_20:4(Ke_or_Epoxy))+NH4,988.7964304,953.7593104,687.4983564,641.5139564,653.5503764
OxTG(18:0_22:6_20:4(Ke_or_Epoxy))+NH4,986.7807304,951.7436104,685.4826564,641.5139564,651.5346764
OxTG(18:1_18:1_20:4(Ke_or_Epoxy))+NH4,938.7808304,903.7437104,639.4983564,639.4983564,603.5347764
OxTG(18:1_18:2_20:4(Ke_or_Epoxy))+NH4,936.7651304,901.7280104,637.4826564,639.4983564,601.5190764
OxTG(18:1_18:3_20:4(Ke_or_Epoxy))+NH4,934.7495304,899.7124104,635.4670564,639.4983564,599.5034764
OxTG(18:1_18:4_20:4(Ke_or_Epoxy))+NH4,932.7338304,897.6967104,633.4513564,639.4983564,597.4877764
OxTG(18:1_20:4_20:4(Ke_or_Epoxy))+NH4,960.7651304,925.7280104,661.4826564,639.4983564,625.5190764
OxTG(18:1_20:5_20:4(Ke_or_Epoxy))+NH4,958.7495304,923.7124104,659.4670564,639.4983564,623.5034764
OxTG(18:1_22:5_20:4(Ke_or_Epoxy))+NH4,986.7808304,951.7437104,687.4983564,639.4983564,651.5347764
OxTG(18:1_22:6_20:4(Ke_or_Epoxy))+NH4,984.7651304,949.7280104,685.4826564,639.4983564,649.5190764
OxTG(18:2_18:2_20:4(Ke_or_Epoxy))+NH4,934.7494304,899.7123104,637.4826564,637.4826564,599.5033764
