OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-R1COOH]+,[M+H-R2COOH]+,[M+H-R3COOH]+
OxTG(18:1_18:3_20:1(Ke_or_Epoxy))+NH4,940.7965504,905.7594304,641.5140764,645.5453764,599.5034764
OxTG(18:1_18:3_20:2(Ke_or_Epoxy))+NH4,938.7808504,903.7437304,639.4983764,643.5296764,599.5034764
OxTG(18:1_18:3_20:3(Ke_or_Epoxy))+NH4,936.7652504,901.7281304,637.4827764,641.5140764,599.5034764
OxTG(18:1_18:3_20:5(Ke_or_Epoxy))+NH4,932.7339504,897.6968304,633.4514764,637.4827764,599.5034764
OxTG(18:1_18:3_22:1(Ke_or_Epoxy))+NH4,968.8278504,933.7907304,669.5453764,673.5766764,599.5034764
OxTG(18:1_18:3_22:2(Ke_or_Epoxy))+NH4,966.8121504,931.7750304,667.5296764,671.5609764,599.5034764
OxTG(18:1_18:3_22:3(Ke_or_Epoxy))+NH4,964.7965504,929.7594304,665.5140764,669.5453764,599.5034764
OxTG(18:1_18:3_22:4(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,663.4983764,667.5296764,599.5034764
OxTG(18:1_18:3_22:5(Ke_or_Epoxy))+NH4,960.7652504,925.7281304,661.4827764,665.5140764,599.5034764
OxTG(18:1_18:3_22:6(Ke_or_Epoxy))+NH4,958.7495504,923.7124304,659.4670764,663.4983764,599.5034764
OxTG(18:1_18:3_24:1(Ke_or_Epoxy))+NH4,996.8591504,961.8220304,697.5766764,701.6079764,599.5034764
OxTG(18:1_18:4_14:1(Ke_or_Epoxy))+NH4,854.6869504,819.6498304,555.4044764,561.4514764,597.4877764
OxTG(18:1_18:4_15:1(Ke_or_Epoxy))+NH4,868.7025504,833.6654304,569.4200764,575.4670764,597.4877764
OxTG(18:1_18:4_16:1(Ke_or_Epoxy))+NH4,882.7182504,847.6811304,583.4357764,589.4827764,597.4877764
OxTG(18:1_18:4_17:1(Ke_or_Epoxy))+NH4,896.7338504,861.6967304,597.4513764,603.4983764,597.4877764
OxTG(18:1_18:4_17:2(Ke_or_Epoxy))+NH4,894.7182504,859.6811304,595.4357764,601.4827764,597.4877764
OxTG(18:1_18:4_18:1(Ke_or_Epoxy))+NH4,910.7495504,875.7124304,611.4670764,617.5140764,597.4877764
OxTG(18:1_18:4_18:2(Ke_or_Epoxy))+NH4,908.7338504,873.6967304,609.4513764,615.4983764,597.4877764
OxTG(18:1_18:4_18:3(Ke_or_Epoxy))+NH4,906.7182504,871.6811304,607.4357764,613.4827764,597.4877764
OxTG(18:1_18:4_18:4(Ke_or_Epoxy))+NH4,904.7025504,869.6654304,605.4200764,611.4670764,597.4877764
OxTG(18:1_18:4_20:1(Ke_or_Epoxy))+NH4,938.7808504,903.7437304,639.4983764,645.5453764,597.4877764
OxTG(18:1_18:4_20:2(Ke_or_Epoxy))+NH4,936.7651504,901.7280304,637.4826764,643.5296764,597.4877764
OxTG(18:1_18:4_20:3(Ke_or_Epoxy))+NH4,934.7495504,899.7124304,635.4670764,641.5140764,597.4877764
OxTG(18:1_18:4_20:5(Ke_or_Epoxy))+NH4,930.7182504,895.6811304,631.4357764,637.4827764,597.4877764
OxTG(18:1_18:4_22:1(Ke_or_Epoxy))+NH4,966.8121504,931.7750304,667.5296764,673.5766764,597.4877764
OxTG(18:1_18:4_22:2(Ke_or_Epoxy))+NH4,964.7964504,929.7593304,665.5139764,671.5609764,597.4877764
OxTG(18:1_18:4_22:3(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,663.4983764,669.5453764,597.4877764
OxTG(18:1_18:4_22:4(Ke_or_Epoxy))+NH4,960.7651504,925.7280304,661.4826764,667.5296764,597.4877764
OxTG(18:1_18:4_22:5(Ke_or_Epoxy))+NH4,958.7495504,923.7124304,659.4670764,665.5140764,597.4877764
OxTG(18:1_18:4_22:6(Ke_or_Epoxy))+NH4,956.7338504,921.6967304,657.4513764,663.4983764,597.4877764
OxTG(18:1_18:4_24:1(Ke_or_Epoxy))+NH4,994.8434504,959.8063304,695.5609764,701.6079764,597.4877764
OxTG(18:1_20:4_14:1(Ke_or_Epoxy))+NH4,882.7182504,847.6811304,583.4357764,561.4514764,625.5190764
OxTG(18:1_20:4_15:1(Ke_or_Epoxy))+NH4,896.7338504,861.6967304,597.4513764,575.4670764,625.5190764
OxTG(18:1_20:4_16:1(Ke_or_Epoxy))+NH4,910.7495504,875.7124304,611.4670764,589.4827764,625.5190764
OxTG(18:1_20:4_17:1(Ke_or_Epoxy))+NH4,924.7651504,889.7280304,625.4826764,603.4983764,625.5190764
OxTG(18:1_20:4_17:2(Ke_or_Epoxy))+NH4,922.7495504,887.7124304,623.4670764,601.4827764,625.5190764
OxTG(18:1_20:4_18:1(Ke_or_Epoxy))+NH4,938.7808504,903.7437304,639.4983764,617.5140764,625.5190764
OxTG(18:1_20:4_18:2(Ke_or_Epoxy))+NH4,936.7651504,901.7280304,637.4826764,615.4983764,625.5190764
OxTG(18:1_20:4_18:3(Ke_or_Epoxy))+NH4,934.7495504,899.7124304,635.4670764,613.4827764,625.5190764
OxTG(18:1_20:4_18:4(Ke_or_Epoxy))+NH4,932.7338504,897.6967304,633.4513764,611.4670764,625.5190764
OxTG(18:1_20:4_20:1(Ke_or_Epoxy))+NH4,966.8121504,931.7750304,667.5296764,645.5453764,625.5190764
OxTG(18:1_20:4_20:2(Ke_or_Epoxy))+NH4,964.7964504,929.7593304,665.5139764,643.5296764,625.5190764
OxTG(18:1_20:4_20:3(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,663.4983764,641.5140764,625.5190764
OxTG(18:1_20:4_20:5(Ke_or_Epoxy))+NH4,958.7495504,923.7124304,659.4670764,637.4827764,625.5190764
OxTG(18:1_20:4_22:1(Ke_or_Epoxy))+NH4,994.8434504,959.8063304,695.5609764,673.5766764,625.5190764
OxTG(18:1_20:4_22:2(Ke_or_Epoxy))+NH4,992.8277504,957.7906304,693.5452764,671.5609764,625.5190764
OxTG(18:1_20:4_22:3(Ke_or_Epoxy))+NH4,990.8121504,955.7750304,691.5296764,669.5453764,625.5190764
OxTG(18:1_20:4_22:4(Ke_or_Epoxy))+NH4,988.7964504,953.7593304,689.5139764,667.5296764,625.5190764
OxTG(18:1_20:4_22:5(Ke_or_Epoxy))+NH4,986.7808504,951.7437304,687.4983764,665.5140764,625.5190764
OxTG(18:1_20:4_22:6(Ke_or_Epoxy))+NH4,984.7651504,949.7280304,685.4826764,663.4983764,625.5190764
OxTG(18:1_20:4_24:1(Ke_or_Epoxy))+NH4,1022.87475,987.8376304,723.5922764,701.6079764,625.5190764
OxTG(18:1_20:5_14:1(Ke_or_Epoxy))+NH4,880.7026504,845.6655304,581.4201764,561.4514764,623.5034764
OxTG(18:1_20:5_15:1(Ke_or_Epoxy))+NH4,894.7182504,859.6811304,595.4357764,575.4670764,623.5034764
OxTG(18:1_20:5_16:1(Ke_or_Epoxy))+NH4,908.7339504,873.6968304,609.4514764,589.4827764,623.5034764
OxTG(18:1_20:5_17:1(Ke_or_Epoxy))+NH4,922.7495504,887.7124304,623.4670764,603.4983764,623.5034764
OxTG(18:1_20:5_17:2(Ke_or_Epoxy))+NH4,920.7339504,885.6968304,621.4514764,601.4827764,623.5034764
OxTG(18:1_20:5_18:1(Ke_or_Epoxy))+NH4,936.7652504,901.7281304,637.4827764,617.5140764,623.5034764
OxTG(18:1_20:5_18:2(Ke_or_Epoxy))+NH4,934.7495504,899.7124304,635.4670764,615.4983764,623.5034764
OxTG(18:1_20:5_18:3(Ke_or_Epoxy))+NH4,932.7339504,897.6968304,633.4514764,613.4827764,623.5034764
OxTG(18:1_20:5_18:4(Ke_or_Epoxy))+NH4,930.7182504,895.6811304,631.4357764,611.4670764,623.5034764
OxTG(18:1_20:5_20:1(Ke_or_Epoxy))+NH4,964.7965504,929.7594304,665.5140764,645.5453764,623.5034764
OxTG(18:1_20:5_20:2(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,663.4983764,643.5296764,623.5034764
OxTG(18:1_20:5_20:3(Ke_or_Epoxy))+NH4,960.7652504,925.7281304,661.4827764,641.5140764,623.5034764
OxTG(18:1_20:5_20:5(Ke_or_Epoxy))+NH4,956.7339504,921.6968304,657.4514764,637.4827764,623.5034764
OxTG(18:1_20:5_22:1(Ke_or_Epoxy))+NH4,992.8278504,957.7907304,693.5453764,673.5766764,623.5034764
OxTG(18:1_20:5_22:2(Ke_or_Epoxy))+NH4,990.8121504,955.7750304,691.5296764,671.5609764,623.5034764
OxTG(18:1_20:5_22:3(Ke_or_Epoxy))+NH4,988.7965504,953.7594304,689.5140764,669.5453764,623.5034764
OxTG(18:1_20:5_22:4(Ke_or_Epoxy))+NH4,986.7808504,951.7437304,687.4983764,667.5296764,623.5034764
OxTG(18:1_20:5_22:5(Ke_or_Epoxy))+NH4,984.7652504,949.7281304,685.4827764,665.5140764,623.5034764
OxTG(18:1_20:5_22:6(Ke_or_Epoxy))+NH4,982.7495504,947.7124304,683.4670764,663.4983764,623.5034764
OxTG(18:1_20:5_24:1(Ke_or_Epoxy))+NH4,1020.85915,985.8220304,721.5766764,701.6079764,623.5034764
OxTG(18:1_22:5_14:1(Ke_or_Epoxy))+NH4,908.7339504,873.6968304,609.4514764,561.4514764,651.5347764
OxTG(18:1_22:5_15:1(Ke_or_Epoxy))+NH4,922.7495504,887.7124304,623.4670764,575.4670764,651.5347764
OxTG(18:1_22:5_16:1(Ke_or_Epoxy))+NH4,936.7652504,901.7281304,637.4827764,589.4827764,651.5347764
OxTG(18:1_22:5_17:1(Ke_or_Epoxy))+NH4,950.7808504,915.7437304,651.4983764,603.4983764,651.5347764
OxTG(18:1_22:5_17:2(Ke_or_Epoxy))+NH4,948.7652504,913.7281304,649.4827764,601.4827764,651.5347764
OxTG(18:1_22:5_18:1(Ke_or_Epoxy))+NH4,964.7965504,929.7594304,665.5140764,617.5140764,651.5347764
OxTG(18:1_22:5_18:2(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,663.4983764,615.4983764,651.5347764
OxTG(18:1_22:5_18:3(Ke_or_Epoxy))+NH4,960.7652504,925.7281304,661.4827764,613.4827764,651.5347764
OxTG(18:1_22:5_18:4(Ke_or_Epoxy))+NH4,958.7495504,923.7124304,659.4670764,611.4670764,651.5347764
OxTG(18:1_22:5_20:1(Ke_or_Epoxy))+NH4,992.8278504,957.7907304,693.5453764,645.5453764,651.5347764
OxTG(18:1_22:5_20:2(Ke_or_Epoxy))+NH4,990.8121504,955.7750304,691.5296764,643.5296764,651.5347764
OxTG(18:1_22:5_20:3(Ke_or_Epoxy))+NH4,988.7965504,953.7594304,689.5140764,641.5140764,651.5347764
OxTG(18:1_22:5_20:5(Ke_or_Epoxy))+NH4,984.7652504,949.7281304,685.4827764,637.4827764,651.5347764
OxTG(18:1_22:5_22:1(Ke_or_Epoxy))+NH4,1020.85915,985.8220304,721.5766764,673.5766764,651.5347764
OxTG(18:1_22:5_22:2(Ke_or_Epoxy))+NH4,1018.84345,983.8063304,719.5609764,671.5609764,651.5347764
OxTG(18:1_22:5_22:3(Ke_or_Epoxy))+NH4,1016.82785,981.7907304,717.5453764,669.5453764,651.5347764
OxTG(18:1_22:5_22:4(Ke_or_Epoxy))+NH4,1014.81215,979.7750304,715.5296764,667.5296764,651.5347764
OxTG(18:1_22:5_22:5(Ke_or_Epoxy))+NH4,1012.79655,977.7594304,713.5140764,665.5140764,651.5347764
OxTG(18:1_22:5_22:6(Ke_or_Epoxy))+NH4,1010.78085,975.7437304,711.4983764,663.4983764,651.5347764
OxTG(18:1_22:5_24:1(Ke_or_Epoxy))+NH4,1048.89045,1013.85333,749.6079764,701.6079764,651.5347764
OxTG(18:1_22:6_14:1(Ke_or_Epoxy))+NH4,906.7182504,871.6811304,607.4357764,561.4514764,649.5190764
OxTG(18:1_22:6_15:1(Ke_or_Epoxy))+NH4,920.7338504,885.6967304,621.4513764,575.4670764,649.5190764
OxTG(18:1_22:6_16:1(Ke_or_Epoxy))+NH4,934.7495504,899.7124304,635.4670764,589.4827764,649.5190764
OxTG(18:1_22:6_17:1(Ke_or_Epoxy))+NH4,948.7651504,913.7280304,649.4826764,603.4983764,649.5190764
OxTG(18:1_22:6_17:2(Ke_or_Epoxy))+NH4,946.7495504,911.7124304,647.4670764,601.4827764,649.5190764
OxTG(18:1_22:6_18:1(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,663.4983764,617.5140764,649.5190764
OxTG(18:1_22:6_18:2(Ke_or_Epoxy))+NH4,960.7651504,925.7280304,661.4826764,615.4983764,649.5190764
OxTG(18:1_22:6_18:3(Ke_or_Epoxy))+NH4,958.7495504,923.7124304,659.4670764,613.4827764,649.5190764
OxTG(18:1_22:6_18:4(Ke_or_Epoxy))+NH4,956.7338504,921.6967304,657.4513764,611.4670764,649.5190764
OxTG(18:1_22:6_20:1(Ke_or_Epoxy))+NH4,990.8121504,955.7750304,691.5296764,645.5453764,649.5190764
OxTG(18:1_22:6_20:2(Ke_or_Epoxy))+NH4,988.7964504,953.7593304,689.5139764,643.5296764,649.5190764
OxTG(18:1_22:6_20:3(Ke_or_Epoxy))+NH4,986.7808504,951.7437304,687.4983764,641.5140764,649.5190764
OxTG(18:1_22:6_20:5(Ke_or_Epoxy))+NH4,982.7495504,947.7124304,683.4670764,637.4827764,649.5190764
OxTG(18:1_22:6_22:1(Ke_or_Epoxy))+NH4,1018.84345,983.8063304,719.5609764,673.5766764,649.5190764
OxTG(18:1_22:6_22:2(Ke_or_Epoxy))+NH4,1016.82775,981.7906304,717.5452764,671.5609764,649.5190764
OxTG(18:1_22:6_22:3(Ke_or_Epoxy))+NH4,1014.81215,979.7750304,715.5296764,669.5453764,649.5190764
OxTG(18:1_22:6_22:4(Ke_or_Epoxy))+NH4,1012.79645,977.7593304,713.5139764,667.5296764,649.5190764
OxTG(18:1_22:6_22:5(Ke_or_Epoxy))+NH4,1010.78085,975.7437304,711.4983764,665.5140764,649.5190764
OxTG(18:1_22:6_22:6(Ke_or_Epoxy))+NH4,1008.76515,973.7280304,709.4826764,663.4983764,649.5190764
OxTG(18:1_22:6_24:1(Ke_or_Epoxy))+NH4,1046.87475,1011.83763,747.5922764,701.6079764,649.5190764
OxTG(18:2_18:2_14:1(Ke_or_Epoxy))+NH4,856.7025504,821.6654304,559.4357764,559.4357764,599.5033764
OxTG(18:2_18:2_15:1(Ke_or_Epoxy))+NH4,870.7181504,835.6810304,573.4513764,573.4513764,599.5033764
OxTG(18:2_18:2_16:1(Ke_or_Epoxy))+NH4,884.7338504,849.6967304,587.4670764,587.4670764,599.5033764
OxTG(18:2_18:2_17:1(Ke_or_Epoxy))+NH4,898.7494504,863.7123304,601.4826764,601.4826764,599.5033764
OxTG(18:2_18:2_17:2(Ke_or_Epoxy))+NH4,896.7338504,861.6967304,599.4670764,599.4670764,599.5033764
OxTG(18:2_18:2_18:1(Ke_or_Epoxy))+NH4,912.7651504,877.7280304,615.4983764,615.4983764,599.5033764
OxTG(18:2_18:2_18:2(Ke_or_Epoxy))+NH4,910.7494504,875.7123304,613.4826764,613.4826764,599.5033764
OxTG(18:2_18:2_18:3(Ke_or_Epoxy))+NH4,908.7338504,873.6967304,611.4670764,611.4670764,599.5033764
OxTG(18:2_18:2_18:4(Ke_or_Epoxy))+NH4,906.7181504,871.6810304,609.4513764,609.4513764,599.5033764
OxTG(18:2_18:2_20:1(Ke_or_Epoxy))+NH4,940.7964504,905.7593304,643.5296764,643.5296764,599.5033764
OxTG(18:2_18:2_20:2(Ke_or_Epoxy))+NH4,938.7807504,903.7436304,641.5139764,641.5139764,599.5033764
OxTG(18:2_18:2_20:3(Ke_or_Epoxy))+NH4,936.7651504,901.7280304,639.4983764,639.4983764,599.5033764
OxTG(18:2_18:2_20:5(Ke_or_Epoxy))+NH4,932.7338504,897.6967304,635.4670764,635.4670764,599.5033764
OxTG(18:2_18:2_22:1(Ke_or_Epoxy))+NH4,968.8277504,933.7906304,671.5609764,671.5609764,599.5033764
OxTG(18:2_18:2_22:2(Ke_or_Epoxy))+NH4,966.8120504,931.7749304,669.5452764,669.5452764,599.5033764
OxTG(18:2_18:2_22:3(Ke_or_Epoxy))+NH4,964.7964504,929.7593304,667.5296764,667.5296764,599.5033764
OxTG(18:2_18:2_22:4(Ke_or_Epoxy))+NH4,962.7807504,927.7436304,665.5139764,665.5139764,599.5033764
OxTG(18:2_18:2_22:5(Ke_or_Epoxy))+NH4,960.7651504,925.7280304,663.4983764,663.4983764,599.5033764
OxTG(18:2_18:2_22:6(Ke_or_Epoxy))+NH4,958.7494504,923.7123304,661.4826764,661.4826764,599.5033764
OxTG(18:2_18:2_24:1(Ke_or_Epoxy))+NH4,996.8590504,961.8219304,699.5922764,699.5922764,599.5033764
OxTG(18:2_18:3_14:1(Ke_or_Epoxy))+NH4,854.6869504,819.6498304,557.4201764,559.4357764,597.4877764
OxTG(18:2_18:3_15:1(Ke_or_Epoxy))+NH4,868.7025504,833.6654304,571.4357764,573.4513764,597.4877764
OxTG(18:2_18:3_16:1(Ke_or_Epoxy))+NH4,882.7182504,847.6811304,585.4514764,587.4670764,597.4877764
OxTG(18:2_18:3_17:1(Ke_or_Epoxy))+NH4,896.7338504,861.6967304,599.4670764,601.4826764,597.4877764
OxTG(18:2_18:3_17:2(Ke_or_Epoxy))+NH4,894.7182504,859.6811304,597.4514764,599.4670764,597.4877764
OxTG(18:2_18:3_18:1(Ke_or_Epoxy))+NH4,910.7495504,875.7124304,613.4827764,615.4983764,597.4877764
OxTG(18:2_18:3_18:2(Ke_or_Epoxy))+NH4,908.7338504,873.6967304,611.4670764,613.4826764,597.4877764
OxTG(18:2_18:3_18:3(Ke_or_Epoxy))+NH4,906.7182504,871.6811304,609.4514764,611.4670764,597.4877764
OxTG(18:2_18:3_18:4(Ke_or_Epoxy))+NH4,904.7025504,869.6654304,607.4357764,609.4513764,597.4877764
OxTG(18:2_18:3_20:1(Ke_or_Epoxy))+NH4,938.7808504,903.7437304,641.5140764,643.5296764,597.4877764
OxTG(18:2_18:3_20:2(Ke_or_Epoxy))+NH4,936.7651504,901.7280304,639.4983764,641.5139764,597.4877764
OxTG(18:2_18:3_20:3(Ke_or_Epoxy))+NH4,934.7495504,899.7124304,637.4827764,639.4983764,597.4877764
OxTG(18:2_18:3_20:5(Ke_or_Epoxy))+NH4,930.7182504,895.6811304,633.4514764,635.4670764,597.4877764
OxTG(18:2_18:3_22:1(Ke_or_Epoxy))+NH4,966.8121504,931.7750304,669.5453764,671.5609764,597.4877764
OxTG(18:2_18:3_22:2(Ke_or_Epoxy))+NH4,964.7964504,929.7593304,667.5296764,669.5452764,597.4877764
OxTG(18:2_18:3_22:3(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,665.5140764,667.5296764,597.4877764
OxTG(18:2_18:3_22:4(Ke_or_Epoxy))+NH4,960.7651504,925.7280304,663.4983764,665.5139764,597.4877764
OxTG(18:2_18:3_22:5(Ke_or_Epoxy))+NH4,958.7495504,923.7124304,661.4827764,663.4983764,597.4877764
OxTG(18:2_18:3_22:6(Ke_or_Epoxy))+NH4,956.7338504,921.6967304,659.4670764,661.4826764,597.4877764
OxTG(18:2_18:3_24:1(Ke_or_Epoxy))+NH4,994.8434504,959.8063304,697.5766764,699.5922764,597.4877764
OxTG(18:2_18:4_14:1(Ke_or_Epoxy))+NH4,852.6712504,817.6341304,555.4044764,559.4357764,595.4720764
OxTG(18:2_18:4_15:1(Ke_or_Epoxy))+NH4,866.6868504,831.6497304,569.4200764,573.4513764,595.4720764
OxTG(18:2_18:4_16:1(Ke_or_Epoxy))+NH4,880.7025504,845.6654304,583.4357764,587.4670764,595.4720764
OxTG(18:2_18:4_17:1(Ke_or_Epoxy))+NH4,894.7181504,859.6810304,597.4513764,601.4826764,595.4720764
OxTG(18:2_18:4_17:2(Ke_or_Epoxy))+NH4,892.7025504,857.6654304,595.4357764,599.4670764,595.4720764
OxTG(18:2_18:4_18:1(Ke_or_Epoxy))+NH4,908.7338504,873.6967304,611.4670764,615.4983764,595.4720764
OxTG(18:2_18:4_18:2(Ke_or_Epoxy))+NH4,906.7181504,871.6810304,609.4513764,613.4826764,595.4720764
OxTG(18:2_18:4_18:3(Ke_or_Epoxy))+NH4,904.7025504,869.6654304,607.4357764,611.4670764,595.4720764
OxTG(18:2_18:4_18:4(Ke_or_Epoxy))+NH4,902.6868504,867.6497304,605.4200764,609.4513764,595.4720764
OxTG(18:2_18:4_20:1(Ke_or_Epoxy))+NH4,936.7651504,901.7280304,639.4983764,643.5296764,595.4720764
OxTG(18:2_18:4_20:2(Ke_or_Epoxy))+NH4,934.7494504,899.7123304,637.4826764,641.5139764,595.4720764
OxTG(18:2_18:4_20:3(Ke_or_Epoxy))+NH4,932.7338504,897.6967304,635.4670764,639.4983764,595.4720764
OxTG(18:2_18:4_20:5(Ke_or_Epoxy))+NH4,928.7025504,893.6654304,631.4357764,635.4670764,595.4720764
OxTG(18:2_18:4_22:1(Ke_or_Epoxy))+NH4,964.7964504,929.7593304,667.5296764,671.5609764,595.4720764
OxTG(18:2_18:4_22:2(Ke_or_Epoxy))+NH4,962.7807504,927.7436304,665.5139764,669.5452764,595.4720764
OxTG(18:2_18:4_22:3(Ke_or_Epoxy))+NH4,960.7651504,925.7280304,663.4983764,667.5296764,595.4720764
OxTG(18:2_18:4_22:4(Ke_or_Epoxy))+NH4,958.7494504,923.7123304,661.4826764,665.5139764,595.4720764
OxTG(18:2_18:4_22:5(Ke_or_Epoxy))+NH4,956.7338504,921.6967304,659.4670764,663.4983764,595.4720764
OxTG(18:2_18:4_22:6(Ke_or_Epoxy))+NH4,954.7181504,919.6810304,657.4513764,661.4826764,595.4720764
OxTG(18:2_18:4_24:1(Ke_or_Epoxy))+NH4,992.8277504,957.7906304,695.5609764,699.5922764,595.4720764
OxTG(18:2_20:4_14:1(Ke_or_Epoxy))+NH4,880.7025504,845.6654304,583.4357764,559.4357764,623.5033764
OxTG(18:2_20:4_15:1(Ke_or_Epoxy))+NH4,894.7181504,859.6810304,597.4513764,573.4513764,623.5033764
OxTG(18:2_20:4_16:1(Ke_or_Epoxy))+NH4,908.7338504,873.6967304,611.4670764,587.4670764,623.5033764
OxTG(18:2_20:4_17:1(Ke_or_Epoxy))+NH4,922.7494504,887.7123304,625.4826764,601.4826764,623.5033764
OxTG(18:2_20:4_17:2(Ke_or_Epoxy))+NH4,920.7338504,885.6967304,623.4670764,599.4670764,623.5033764
OxTG(18:2_20:4_18:1(Ke_or_Epoxy))+NH4,936.7651504,901.7280304,639.4983764,615.4983764,623.5033764
OxTG(18:2_20:4_18:2(Ke_or_Epoxy))+NH4,934.7494504,899.7123304,637.4826764,613.4826764,623.5033764
OxTG(18:2_20:4_18:3(Ke_or_Epoxy))+NH4,932.7338504,897.6967304,635.4670764,611.4670764,623.5033764
OxTG(18:2_20:4_18:4(Ke_or_Epoxy))+NH4,930.7181504,895.6810304,633.4513764,609.4513764,623.5033764
OxTG(18:2_20:4_20:1(Ke_or_Epoxy))+NH4,964.7964504,929.7593304,667.5296764,643.5296764,623.5033764
OxTG(18:2_20:4_20:2(Ke_or_Epoxy))+NH4,962.7807504,927.7436304,665.5139764,641.5139764,623.5033764
OxTG(18:2_20:4_20:3(Ke_or_Epoxy))+NH4,960.7651504,925.7280304,663.4983764,639.4983764,623.5033764
OxTG(18:2_20:4_20:5(Ke_or_Epoxy))+NH4,956.7338504,921.6967304,659.4670764,635.4670764,623.5033764
OxTG(18:2_20:4_22:1(Ke_or_Epoxy))+NH4,992.8277504,957.7906304,695.5609764,671.5609764,623.5033764
OxTG(18:2_20:4_22:2(Ke_or_Epoxy))+NH4,990.8120504,955.7749304,693.5452764,669.5452764,623.5033764
OxTG(18:2_20:4_22:3(Ke_or_Epoxy))+NH4,988.7964504,953.7593304,691.5296764,667.5296764,623.5033764
OxTG(18:2_20:4_22:4(Ke_or_Epoxy))+NH4,986.7807504,951.7436304,689.5139764,665.5139764,623.5033764
OxTG(18:2_20:4_22:5(Ke_or_Epoxy))+NH4,984.7651504,949.7280304,687.4983764,663.4983764,623.5033764
OxTG(18:2_20:4_22:6(Ke_or_Epoxy))+NH4,982.7494504,947.7123304,685.4826764,661.4826764,623.5033764
OxTG(18:2_20:4_24:1(Ke_or_Epoxy))+NH4,1020.85905,985.8219304,723.5922764,699.5922764,623.5033764
OxTG(18:2_20:5_14:1(Ke_or_Epoxy))+NH4,878.6869504,843.6498304,581.4201764,559.4357764,621.4877764
OxTG(18:2_20:5_15:1(Ke_or_Epoxy))+NH4,892.7025504,857.6654304,595.4357764,573.4513764,621.4877764
OxTG(18:2_20:5_16:1(Ke_or_Epoxy))+NH4,906.7182504,871.6811304,609.4514764,587.4670764,621.4877764
OxTG(18:2_20:5_17:1(Ke_or_Epoxy))+NH4,920.7338504,885.6967304,623.4670764,601.4826764,621.4877764
OxTG(18:2_20:5_17:2(Ke_or_Epoxy))+NH4,918.7182504,883.6811304,621.4514764,599.4670764,621.4877764
OxTG(18:2_20:5_18:1(Ke_or_Epoxy))+NH4,934.7495504,899.7124304,637.4827764,615.4983764,621.4877764
OxTG(18:2_20:5_18:2(Ke_or_Epoxy))+NH4,932.7338504,897.6967304,635.4670764,613.4826764,621.4877764
OxTG(18:2_20:5_18:3(Ke_or_Epoxy))+NH4,930.7182504,895.6811304,633.4514764,611.4670764,621.4877764
OxTG(18:2_20:5_18:4(Ke_or_Epoxy))+NH4,928.7025504,893.6654304,631.4357764,609.4513764,621.4877764
OxTG(18:2_20:5_20:1(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,665.5140764,643.5296764,621.4877764
OxTG(18:2_20:5_20:2(Ke_or_Epoxy))+NH4,960.7651504,925.7280304,663.4983764,641.5139764,621.4877764
OxTG(18:2_20:5_20:3(Ke_or_Epoxy))+NH4,958.7495504,923.7124304,661.4827764,639.4983764,621.4877764
OxTG(18:2_20:5_20:5(Ke_or_Epoxy))+NH4,954.7182504,919.6811304,657.4514764,635.4670764,621.4877764
OxTG(18:2_20:5_22:1(Ke_or_Epoxy))+NH4,990.8121504,955.7750304,693.5453764,671.5609764,621.4877764
OxTG(18:2_20:5_22:2(Ke_or_Epoxy))+NH4,988.7964504,953.7593304,691.5296764,669.5452764,621.4877764
OxTG(18:2_20:5_22:3(Ke_or_Epoxy))+NH4,986.7808504,951.7437304,689.5140764,667.5296764,621.4877764
OxTG(18:2_20:5_22:4(Ke_or_Epoxy))+NH4,984.7651504,949.7280304,687.4983764,665.5139764,621.4877764
OxTG(18:2_20:5_22:5(Ke_or_Epoxy))+NH4,982.7495504,947.7124304,685.4827764,663.4983764,621.4877764
OxTG(18:2_20:5_22:6(Ke_or_Epoxy))+NH4,980.7338504,945.6967304,683.4670764,661.4826764,621.4877764
OxTG(18:2_20:5_24:1(Ke_or_Epoxy))+NH4,1018.84345,983.8063304,721.5766764,699.5922764,621.4877764
OxTG(18:2_22:5_14:1(Ke_or_Epoxy))+NH4,906.7182504,871.6811304,609.4514764,559.4357764,649.5190764
OxTG(18:2_22:5_15:1(Ke_or_Epoxy))+NH4,920.7338504,885.6967304,623.4670764,573.4513764,649.5190764
OxTG(18:2_22:5_16:1(Ke_or_Epoxy))+NH4,934.7495504,899.7124304,637.4827764,587.4670764,649.5190764
OxTG(18:2_22:5_17:1(Ke_or_Epoxy))+NH4,948.7651504,913.7280304,651.4983764,601.4826764,649.5190764
OxTG(18:2_22:5_17:2(Ke_or_Epoxy))+NH4,946.7495504,911.7124304,649.4827764,599.4670764,649.5190764
OxTG(18:2_22:5_18:1(Ke_or_Epoxy))+NH4,962.7808504,927.7437304,665.5140764,615.4983764,649.5190764
