DLCL-PGlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R1+R2)+56+18
DLCL-PGlike(8:0_22:3)-H,841.427367,152.995833,171.006398,143.107753,333.279904,613.387478,469.272449,279.100298,487.283014,297.110863,669.413692,749.380023,687.424257
DLCL-PGlike(8:0_22:4)-H,839.411717,152.995833,171.006398,143.107753,331.264254,611.371828,467.256799,279.100298,485.267364,297.110863,667.398042,747.364373,685.408607
DLCL-PGlike(8:0_22:5)-H,837.396067,152.995833,171.006398,143.107753,329.248604,609.356178,465.241149,279.100298,483.251714,297.110863,665.382392,745.348723,683.392957
DLCL-PGlike(8:0_22:6)-H,835.380417,152.995833,171.006398,143.107753,327.232954,607.340528,463.225499,279.100298,481.236064,297.110863,663.366742,743.333073,681.377307
DLCL-PGlike(8:0_23:0)-H,861.489967,152.995833,171.006398,143.107753,353.342504,633.450078,489.335049,279.100298,507.345614,297.110863,689.476292,769.442623,707.486857
DLCL-PGlike(8:0_24:0)-H,875.505617,152.995833,171.006398,143.107753,367.358154,647.465728,503.350699,279.100298,521.361264,297.110863,703.491942,783.458273,721.502507
DLCL-PGlike(8:0_24:1)-H,873.489967,152.995833,171.006398,143.107753,365.342504,645.450078,501.335049,279.100298,519.345614,297.110863,701.476292,781.442623,719.486857
DLCL-PGlike(8:0_25:0)-H,889.521267,152.995833,171.006398,143.107753,381.373804,661.481378,517.366349,279.100298,535.376914,297.110863,717.507592,797.473923,735.518157
DLCL-PGlike(8:0_26:0)-H,903.536917,152.995833,171.006398,143.107753,395.389454,675.497028,531.381999,279.100298,549.392564,297.110863,731.523242,811.489573,749.533807
DLCL-PGlike(10:0_8:0)-H,679.286517,152.995833,171.006398,171.139054,143.107753,451.246628,279.100298,307.131599,297.110863,325.142164,507.272842,587.239173,525.283407
DLCL-PGlike(10:0_10:0)-H,707.317818,152.995833,171.006398,171.139054,171.139054,479.277929,307.131599,307.131599,325.142164,325.142164,535.304143,615.270474,553.314708
DLCL-PGlike(10:0_12:0)-H,735.349118,152.995833,171.006398,171.139054,199.170354,507.309229,335.162899,307.131599,353.173464,325.142164,563.335443,643.301774,581.346008
DLCL-PGlike(10:0_13:0)-H,749.364768,152.995833,171.006398,171.139054,213.186004,521.324879,349.178549,307.131599,367.189114,325.142164,577.351093,657.317424,595.361658
DLCL-PGlike(10:0_14:0)-H,763.380418,152.995833,171.006398,171.139054,227.201654,535.340529,363.194199,307.131599,381.204764,325.142164,591.366743,671.333074,609.377308
DLCL-PGlike(10:0_14:1)-H,761.364768,152.995833,171.006398,171.139054,225.186004,533.324879,361.178549,307.131599,379.189114,325.142164,589.351093,669.317424,607.361658
DLCL-PGlike(10:0_15:0)-H,777.396068,152.995833,171.006398,171.139054,241.217304,549.356179,377.209849,307.131599,395.220414,325.142164,605.382393,685.348724,623.392958
DLCL-PGlike(10:0_15:1)-H,775.380418,152.995833,171.006398,171.139054,239.201654,547.340529,375.194199,307.131599,393.204764,325.142164,603.366743,683.333074,621.377308
DLCL-PGlike(10:0_16:0)-H,791.411718,152.995833,171.006398,171.139054,255.232954,563.371829,391.225499,307.131599,409.236064,325.142164,619.398043,699.364374,637.408608
DLCL-PGlike(10:0_16:1)-H,789.396068,152.995833,171.006398,171.139054,253.217304,561.356179,389.209849,307.131599,407.220414,325.142164,617.382393,697.348724,635.392958
DLCL-PGlike(10:0_16:2)-H,787.380418,152.995833,171.006398,171.139054,251.201654,559.340529,387.194199,307.131599,405.204764,325.142164,615.366743,695.333074,633.377308
DLCL-PGlike(10:0_16:3)-H,785.364768,152.995833,171.006398,171.139054,249.186004,557.324879,385.178549,307.131599,403.189114,325.142164,613.351093,693.317424,631.361658
DLCL-PGlike(10:0_16:4)-H,783.349118,152.995833,171.006398,171.139054,247.170354,555.309229,383.162899,307.131599,401.173464,325.142164,611.335443,691.301774,629.346008
DLCL-PGlike(10:0_17:0)-H,805.427368,152.995833,171.006398,171.139054,269.248604,577.387479,405.241149,307.131599,423.251714,325.142164,633.413693,713.380024,651.424258
DLCL-PGlike(10:0_17:1)-H,803.411718,152.995833,171.006398,171.139054,267.232954,575.371829,403.225499,307.131599,421.236064,325.142164,631.398043,711.364374,649.408608
DLCL-PGlike(10:0_17:2)-H,801.396068,152.995833,171.006398,171.139054,265.217304,573.356179,401.209849,307.131599,419.220414,325.142164,629.382393,709.348724,647.392958
DLCL-PGlike(10:0_18:0)-H,819.443018,152.995833,171.006398,171.139054,283.264254,591.403129,419.256799,307.131599,437.267364,325.142164,647.429343,727.395674,665.439908
DLCL-PGlike(10:0_18:1)-H,817.427368,152.995833,171.006398,171.139054,281.248604,589.387479,417.241149,307.131599,435.251714,325.142164,645.413693,725.380024,663.424258
DLCL-PGlike(10:0_18:2)-H,815.411718,152.995833,171.006398,171.139054,279.232954,587.371829,415.225499,307.131599,433.236064,325.142164,643.398043,723.364374,661.408608
DLCL-PGlike(10:0_18:3)-H,813.396068,152.995833,171.006398,171.139054,277.217304,585.356179,413.209849,307.131599,431.220414,325.142164,641.382393,721.348724,659.392958
DLCL-PGlike(10:0_18:4)-H,811.380418,152.995833,171.006398,171.139054,275.201654,583.340529,411.194199,307.131599,429.204764,325.142164,639.366743,719.333074,657.377308
DLCL-PGlike(10:0_18:4)-H,809.364768,152.995833,171.006398,171.139054,273.186004,581.324879,409.178549,307.131599,427.189114,325.142164,637.351093,717.317424,655.361658
DLCL-PGlike(10:0_19:0)-H,833.458668,152.995833,171.006398,171.139054,297.279904,605.418779,433.272449,307.131599,451.283014,325.142164,661.444993,741.411324,679.455558
DLCL-PGlike(10:0_19:1)-H,831.443008,152.995833,171.006398,171.139054,295.264244,603.403119,431.256789,307.131599,449.267354,325.142164,659.429333,739.395664,677.439898
DLCL-PGlike(10:0_20:0)-H,847.474318,152.995833,171.006398,171.139054,311.295554,619.434429,447.288099,307.131599,465.298664,325.142164,675.460643,755.426974,693.471208
DLCL-PGlike(10:0_20:1)-H,845.458668,152.995833,171.006398,171.139054,309.279904,617.418779,445.272449,307.131599,463.283014,325.142164,673.444993,753.411324,691.455558
DLCL-PGlike(10:0_20:2)-H,843.443018,152.995833,171.006398,171.139054,307.264254,615.403129,443.256799,307.131599,461.267364,325.142164,671.429343,751.395674,689.439908
DLCL-PGlike(10:0_20:3)-H,841.427368,152.995833,171.006398,171.139054,305.248604,613.387479,441.241149,307.131599,459.251714,325.142164,669.413693,749.380024,687.424258
DLCL-PGlike(10:0_20:4)-H,839.411718,152.995833,171.006398,171.139054,303.232954,611.371829,439.225499,307.131599,457.236064,325.142164,667.398043,747.364374,685.408608
DLCL-PGlike(10:0_20:5)-H,837.396068,152.995833,171.006398,171.139054,301.217304,609.356179,437.209849,307.131599,455.220414,325.142164,665.382393,745.348724,683.392958
DLCL-PGlike(10:0_21:0)-H,861.489968,152.995833,171.006398,171.139054,325.311204,633.450079,461.303749,307.131599,479.314314,325.142164,689.476293,769.442624,707.486858
DLCL-PGlike(10:0_22:0)-H,875.505618,152.995833,171.006398,171.139054,339.326854,647.465729,475.319399,307.131599,493.329964,325.142164,703.491943,783.458274,721.502508
DLCL-PGlike(10:0_22:1)-H,873.489968,152.995833,171.006398,171.139054,337.311204,645.450079,473.303749,307.131599,491.314314,325.142164,701.476293,781.442624,719.486858
DLCL-PGlike(10:0_22:2)-H,871.474318,152.995833,171.006398,171.139054,335.295554,643.434429,471.288099,307.131599,489.298664,325.142164,699.460643,779.426974,717.471208
DLCL-PGlike(10:0_22:3)-H,869.458668,152.995833,171.006398,171.139054,333.279904,641.418779,469.272449,307.131599,487.283014,325.142164,697.444993,777.411324,715.455558
DLCL-PGlike(10:0_22:4)-H,867.443018,152.995833,171.006398,171.139054,331.264254,639.403129,467.256799,307.131599,485.267364,325.142164,695.429343,775.395674,713.439908
DLCL-PGlike(10:0_22:5)-H,865.427368,152.995833,171.006398,171.139054,329.248604,637.387479,465.241149,307.131599,483.251714,325.142164,693.413693,773.380024,711.424258
DLCL-PGlike(10:0_22:6)-H,863.411718,152.995833,171.006398,171.139054,327.232954,635.371829,463.225499,307.131599,481.236064,325.142164,691.398043,771.364374,709.408608
DLCL-PGlike(10:0_23:0)-H,889.521268,152.995833,171.006398,171.139054,353.342504,661.481379,489.335049,307.131599,507.345614,325.142164,717.507593,797.473924,735.518158
DLCL-PGlike(10:0_24:0)-H,903.536918,152.995833,171.006398,171.139054,367.358154,675.497029,503.350699,307.131599,521.361264,325.142164,731.523243,811.489574,749.533808
DLCL-PGlike(10:0_24:1)-H,901.521268,152.995833,171.006398,171.139054,365.342504,673.481379,501.335049,307.131599,519.345614,325.142164,729.507593,809.473924,747.518158
DLCL-PGlike(10:0_25:0)-H,917.552568,152.995833,171.006398,171.139054,381.373804,689.512679,517.366349,307.131599,535.376914,325.142164,745.538893,825.505224,763.549458
DLCL-PGlike(10:0_26:0)-H,931.568218,152.995833,171.006398,171.139054,395.389454,703.528329,531.381999,307.131599,549.392564,325.142164,759.554543,839.520874,777.565108
DLCL-PGlike(12:0_8:0)-H,707.317817,152.995833,171.006398,199.170354,143.107753,479.277928,279.100298,335.162899,297.110863,353.173464,535.304142,615.270473,553.314707
DLCL-PGlike(12:0_10:0)-H,735.349118,152.995833,171.006398,199.170354,171.139054,507.309229,307.131599,335.162899,325.142164,353.173464,563.335443,643.301774,581.346008
DLCL-PGlike(12:0_12:0)-H,763.380418,152.995833,171.006398,199.170354,199.170354,535.340529,335.162899,335.162899,353.173464,353.173464,591.366743,671.333074,609.377308
DLCL-PGlike(12:0_13:0)-H,777.396068,152.995833,171.006398,199.170354,213.186004,549.356179,349.178549,335.162899,367.189114,353.173464,605.382393,685.348724,623.392958
DLCL-PGlike(12:0_14:0)-H,791.411718,152.995833,171.006398,199.170354,227.201654,563.371829,363.194199,335.162899,381.204764,353.173464,619.398043,699.364374,637.408608
DLCL-PGlike(12:0_14:1)-H,789.396068,152.995833,171.006398,199.170354,225.186004,561.356179,361.178549,335.162899,379.189114,353.173464,617.382393,697.348724,635.392958
DLCL-PGlike(12:0_15:0)-H,805.427368,152.995833,171.006398,199.170354,241.217304,577.387479,377.209849,335.162899,395.220414,353.173464,633.413693,713.380024,651.424258
DLCL-PGlike(12:0_15:1)-H,803.411718,152.995833,171.006398,199.170354,239.201654,575.371829,375.194199,335.162899,393.204764,353.173464,631.398043,711.364374,649.408608
