"MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-16:0_20:3;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;WZORWXIDJBWCTP-UDPRAXMXNA-N;C44H84NO10P","862.58149","353.2333","802.5598","317.2122","335.2228","862.5815","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:3;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;BHHMAHQFZSWTMO-UDPRAXMXNA-N;C44H84NO11P","878.57640","369.2283","818.5547","333.2072","351.2177","878.5764","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;WRORLIOCZYCPIJ-OLXNMAQBNA-N;C44H82NO8P","828.57601","319.2279","768.5543","301.2173","828.576","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;FSCCYEWRULFPJV-HNKZPNGWNA-N;C44H80NO8P","826.56036","317.2122","766.5387","826.5604","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_20:4;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;ZIIVOYZRQSJXBP-CPVGNWSMNA-N;C44H82NO9P","844.57092","335.2228","784.5493","299.2017","317.2122","844.5709","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;LKUOCERBPFGCJD-FOTSAGTANA-N;C44H82NO10P","860.56584","351.2177","800.5442","315.1966","333.2072","860.5659","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;HEMMLNAJFBFRLT-UDPRAXMXNA-N;C44H82NO10P","860.56584","351.2177","800.5442","333.2072","860.5659","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;DGRNEQKTAJBNKK-FCFLYICHNA-N;C44H82NO11P","876.56075","367.2126","816.5391","331.1915","349.2021","876.5607","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;DMLQQNNZMBUALH-UDPRAXMXNA-N;C44H82NO11P","876.56075","367.2126","816.5391","331.1915","349.2021","876.5607","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;ZXGGVTMQDDMKTG-FPCIURQGNA-N;C44H80NO8P","826.56036","317.2122","766.5387","299.2017","826.5604","448.3186","466.3292","224.0693","1"
