OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[R1CO-nH2O]+,[R2CO-nH2O]+,[R3CO-nH2O]+
OxTG(14:1(OH)_20:2(OH)_18:3)+NH4,900.7287504,847.6810604,623.5034004,541.4252004,569.4564304,207.1743664,289.2525664,243.2107664
OxTG(14:1(OH)_20:2(OH)_18:4)+NH4,898.7130504,845.6653604,621.4877004,539.4095004,569.4564304,207.1743664,289.2525664,241.1950664
OxTG(14:1(OH)_20:2(OH)_20:4)+NH4,926.7443504,873.6966604,649.5190004,567.4408004,569.4564304,207.1743664,289.2525664,269.2263664
OxTG(14:1(OH)_20:2(OH)_20:5)+NH4,924.7287504,871.6810604,647.5034004,565.4252004,569.4564304,207.1743664,289.2525664,267.2107664
OxTG(14:1(OH)_20:2(OH)_22:5)+NH4,952.7600504,899.7123604,675.5347004,593.4565004,569.4564304,207.1743664,289.2525664,295.2420664
OxTG(14:1(OH)_20:2(OH)_22:6)+NH4,950.7443504,897.6966604,673.5190004,591.4408004,569.4564304,207.1743664,289.2525664,293.2263664
OxTG(14:1(OH)_20:3(OH)_14:0)+NH4,848.6974504,795.6497604,571.4721004,491.4095004,567.4408304,207.1743664,287.2369664,193.1950664
OxTG(14:1(OH)_20:3(OH)_14:1)+NH4,846.6818504,793.6341604,569.4565004,489.3939004,567.4408304,207.1743664,287.2369664,191.1794664
OxTG(14:1(OH)_20:3(OH)_16:0)+NH4,876.7287504,823.6810604,599.5034004,519.4408004,567.4408304,207.1743664,287.2369664,221.2263664
OxTG(14:1(OH)_20:3(OH)_16:1)+NH4,874.7131504,821.6654604,597.4878004,517.4252004,567.4408304,207.1743664,287.2369664,219.2107664
OxTG(14:1(OH)_20:3(OH)_18:0)+NH4,904.7600504,851.7123604,627.5347004,547.4721004,567.4408304,207.1743664,287.2369664,249.2576664
OxTG(14:1(OH)_20:3(OH)_18:1)+NH4,902.7444504,849.6967604,625.5191004,545.4565004,567.4408304,207.1743664,287.2369664,247.2420664
OxTG(14:1(OH)_20:3(OH)_18:2)+NH4,900.7287504,847.6810604,623.5034004,543.4408004,567.4408304,207.1743664,287.2369664,245.2263664
OxTG(14:1(OH)_20:3(OH)_18:3)+NH4,898.7131504,845.6654604,621.4878004,541.4252004,567.4408304,207.1743664,287.2369664,243.2107664
OxTG(14:1(OH)_20:3(OH)_18:4)+NH4,896.6974504,843.6497604,619.4721004,539.4095004,567.4408304,207.1743664,287.2369664,241.1950664
OxTG(14:1(OH)_20:3(OH)_20:4)+NH4,924.7287504,871.6810604,647.5034004,567.4408004,567.4408304,207.1743664,287.2369664,269.2263664
OxTG(14:1(OH)_20:3(OH)_20:5)+NH4,922.7131504,869.6654604,645.4878004,565.4252004,567.4408304,207.1743664,287.2369664,267.2107664
OxTG(14:1(OH)_20:3(OH)_22:5)+NH4,950.7444504,897.6967604,673.5191004,593.4565004,567.4408304,207.1743664,287.2369664,295.2420664
OxTG(14:1(OH)_20:3(OH)_22:6)+NH4,948.7287504,895.6810604,671.5034004,591.4408004,567.4408304,207.1743664,287.2369664,293.2263664
OxTG(14:1(OH)_20:5(OH)_14:0)+NH4,844.6661504,791.6184604,567.4408004,491.4095004,563.4095304,207.1743664,283.2056664,193.1950664
OxTG(14:1(OH)_20:5(OH)_14:1)+NH4,842.6505504,789.6028604,565.4252004,489.3939004,563.4095304,207.1743664,283.2056664,191.1794664
OxTG(14:1(OH)_20:5(OH)_16:0)+NH4,872.6974504,819.6497604,595.4721004,519.4408004,563.4095304,207.1743664,283.2056664,221.2263664
OxTG(14:1(OH)_20:5(OH)_16:1)+NH4,870.6818504,817.6341604,593.4565004,517.4252004,563.4095304,207.1743664,283.2056664,219.2107664
OxTG(14:1(OH)_20:5(OH)_18:0)+NH4,900.7287504,847.6810604,623.5034004,547.4721004,563.4095304,207.1743664,283.2056664,249.2576664
OxTG(14:1(OH)_20:5(OH)_18:1)+NH4,898.7131504,845.6654604,621.4878004,545.4565004,563.4095304,207.1743664,283.2056664,247.2420664
OxTG(14:1(OH)_20:5(OH)_18:2)+NH4,896.6974504,843.6497604,619.4721004,543.4408004,563.4095304,207.1743664,283.2056664,245.2263664
OxTG(14:1(OH)_20:5(OH)_18:3)+NH4,894.6818504,841.6341604,617.4565004,541.4252004,563.4095304,207.1743664,283.2056664,243.2107664
OxTG(14:1(OH)_20:5(OH)_18:4)+NH4,892.6661504,839.6184604,615.4408004,539.4095004,563.4095304,207.1743664,283.2056664,241.1950664
OxTG(14:1(OH)_20:5(OH)_20:4)+NH4,920.6974504,867.6497604,643.4721004,567.4408004,563.4095304,207.1743664,283.2056664,269.2263664
OxTG(14:1(OH)_20:5(OH)_20:5)+NH4,918.6818504,865.6341604,641.4565004,565.4252004,563.4095304,207.1743664,283.2056664,267.2107664
OxTG(14:1(OH)_20:5(OH)_22:5)+NH4,946.7131504,893.6654604,669.4878004,593.4565004,563.4095304,207.1743664,283.2056664,295.2420664
OxTG(14:1(OH)_20:5(OH)_22:6)+NH4,944.6974504,891.6497604,667.4721004,591.4408004,563.4095304,207.1743664,283.2056664,293.2263664
OxTG(14:1(OH)_22:1(OH)_14:0)+NH4,880.7600504,827.7123604,603.5347004,491.4095004,599.5034304,207.1743664,319.2995664,193.1950664
OxTG(14:1(OH)_22:1(OH)_14:1)+NH4,878.7444504,825.6967604,601.5191004,489.3939004,599.5034304,207.1743664,319.2995664,191.1794664
OxTG(14:1(OH)_22:1(OH)_16:0)+NH4,908.7913504,855.7436604,631.5660004,519.4408004,599.5034304,207.1743664,319.2995664,221.2263664
OxTG(14:1(OH)_22:1(OH)_16:1)+NH4,906.7757504,853.7280604,629.5504004,517.4252004,599.5034304,207.1743664,319.2995664,219.2107664
OxTG(14:1(OH)_22:1(OH)_18:0)+NH4,936.8226504,883.7749604,659.5973004,547.4721004,599.5034304,207.1743664,319.2995664,249.2576664
OxTG(14:1(OH)_22:1(OH)_18:1)+NH4,934.8070504,881.7593604,657.5817004,545.4565004,599.5034304,207.1743664,319.2995664,247.2420664
OxTG(14:1(OH)_22:1(OH)_18:2)+NH4,932.7913504,879.7436604,655.5660004,543.4408004,599.5034304,207.1743664,319.2995664,245.2263664
OxTG(14:1(OH)_22:1(OH)_18:3)+NH4,930.7757504,877.7280604,653.5504004,541.4252004,599.5034304,207.1743664,319.2995664,243.2107664
OxTG(14:1(OH)_22:1(OH)_18:4)+NH4,928.7600504,875.7123604,651.5347004,539.4095004,599.5034304,207.1743664,319.2995664,241.1950664
OxTG(14:1(OH)_22:1(OH)_20:4)+NH4,956.7913504,903.7436604,679.5660004,567.4408004,599.5034304,207.1743664,319.2995664,269.2263664
OxTG(14:1(OH)_22:1(OH)_20:5)+NH4,954.7757504,901.7280604,677.5504004,565.4252004,599.5034304,207.1743664,319.2995664,267.2107664
OxTG(14:1(OH)_22:1(OH)_22:5)+NH4,982.8070504,929.7593604,705.5817004,593.4565004,599.5034304,207.1743664,319.2995664,295.2420664
OxTG(14:1(OH)_22:1(OH)_22:6)+NH4,980.7913504,927.7436604,703.5660004,591.4408004,599.5034304,207.1743664,319.2995664,293.2263664
OxTG(14:1(OH)_22:2(OH)_14:0)+NH4,878.7443504,825.6966604,601.5190004,491.4095004,597.4877304,207.1743664,317.2838664,193.1950664
OxTG(14:1(OH)_22:2(OH)_14:1)+NH4,876.7287504,823.6810604,599.5034004,489.3939004,597.4877304,207.1743664,317.2838664,191.1794664
OxTG(14:1(OH)_22:2(OH)_16:0)+NH4,906.7756504,853.7279604,629.5503004,519.4408004,597.4877304,207.1743664,317.2838664,221.2263664
OxTG(14:1(OH)_22:2(OH)_16:1)+NH4,904.7600504,851.7123604,627.5347004,517.4252004,597.4877304,207.1743664,317.2838664,219.2107664
OxTG(14:1(OH)_22:2(OH)_18:0)+NH4,934.8069504,881.7592604,657.5816004,547.4721004,597.4877304,207.1743664,317.2838664,249.2576664
OxTG(14:1(OH)_22:2(OH)_18:1)+NH4,932.7913504,879.7436604,655.5660004,545.4565004,597.4877304,207.1743664,317.2838664,247.2420664
OxTG(14:1(OH)_22:2(OH)_18:2)+NH4,930.7756504,877.7279604,653.5503004,543.4408004,597.4877304,207.1743664,317.2838664,245.2263664
OxTG(14:1(OH)_22:2(OH)_18:3)+NH4,928.7600504,875.7123604,651.5347004,541.4252004,597.4877304,207.1743664,317.2838664,243.2107664
OxTG(14:1(OH)_22:2(OH)_18:4)+NH4,926.7443504,873.6966604,649.5190004,539.4095004,597.4877304,207.1743664,317.2838664,241.1950664
OxTG(14:1(OH)_22:2(OH)_20:4)+NH4,954.7756504,901.7279604,677.5503004,567.4408004,597.4877304,207.1743664,317.2838664,269.2263664
OxTG(14:1(OH)_22:2(OH)_20:5)+NH4,952.7600504,899.7123604,675.5347004,565.4252004,597.4877304,207.1743664,317.2838664,267.2107664
OxTG(14:1(OH)_22:2(OH)_22:5)+NH4,980.7913504,927.7436604,703.5660004,593.4565004,597.4877304,207.1743664,317.2838664,295.2420664
OxTG(14:1(OH)_22:2(OH)_22:6)+NH4,978.7756504,925.7279604,701.5503004,591.4408004,597.4877304,207.1743664,317.2838664,293.2263664
OxTG(14:1(OH)_22:3(OH)_14:0)+NH4,876.7287504,823.6810604,599.5034004,491.4095004,595.4721304,207.1743664,315.2682664,193.1950664
OxTG(14:1(OH)_22:3(OH)_14:1)+NH4,874.7131504,821.6654604,597.4878004,489.3939004,595.4721304,207.1743664,315.2682664,191.1794664
OxTG(14:1(OH)_22:3(OH)_16:0)+NH4,904.7600504,851.7123604,627.5347004,519.4408004,595.4721304,207.1743664,315.2682664,221.2263664
OxTG(14:1(OH)_22:3(OH)_16:1)+NH4,902.7444504,849.6967604,625.5191004,517.4252004,595.4721304,207.1743664,315.2682664,219.2107664
OxTG(14:1(OH)_22:3(OH)_18:0)+NH4,932.7913504,879.7436604,655.5660004,547.4721004,595.4721304,207.1743664,315.2682664,249.2576664
OxTG(14:1(OH)_22:3(OH)_18:1)+NH4,930.7757504,877.7280604,653.5504004,545.4565004,595.4721304,207.1743664,315.2682664,247.2420664
OxTG(14:1(OH)_22:3(OH)_18:2)+NH4,928.7600504,875.7123604,651.5347004,543.4408004,595.4721304,207.1743664,315.2682664,245.2263664
OxTG(14:1(OH)_22:3(OH)_18:3)+NH4,926.7444504,873.6967604,649.5191004,541.4252004,595.4721304,207.1743664,315.2682664,243.2107664
OxTG(14:1(OH)_22:3(OH)_18:4)+NH4,924.7287504,871.6810604,647.5034004,539.4095004,595.4721304,207.1743664,315.2682664,241.1950664
OxTG(14:1(OH)_22:3(OH)_20:4)+NH4,952.7600504,899.7123604,675.5347004,567.4408004,595.4721304,207.1743664,315.2682664,269.2263664
OxTG(14:1(OH)_22:3(OH)_20:5)+NH4,950.7444504,897.6967604,673.5191004,565.4252004,595.4721304,207.1743664,315.2682664,267.2107664
OxTG(14:1(OH)_22:3(OH)_22:5)+NH4,978.7757504,925.7280604,701.5504004,593.4565004,595.4721304,207.1743664,315.2682664,295.2420664
OxTG(14:1(OH)_22:3(OH)_22:6)+NH4,976.7600504,923.7123604,699.5347004,591.4408004,595.4721304,207.1743664,315.2682664,293.2263664
OxTG(14:1(OH)_22:4(OH)_14:0)+NH4,874.7130504,821.6653604,597.4877004,491.4095004,593.4564304,207.1743664,313.2525664,193.1950664
OxTG(14:1(OH)_22:4(OH)_14:1)+NH4,872.6974504,819.6497604,595.4721004,489.3939004,593.4564304,207.1743664,313.2525664,191.1794664
OxTG(14:1(OH)_22:4(OH)_16:0)+NH4,902.7443504,849.6966604,625.5190004,519.4408004,593.4564304,207.1743664,313.2525664,221.2263664
OxTG(14:1(OH)_22:4(OH)_16:1)+NH4,900.7287504,847.6810604,623.5034004,517.4252004,593.4564304,207.1743664,313.2525664,219.2107664
OxTG(14:1(OH)_22:4(OH)_18:0)+NH4,930.7756504,877.7279604,653.5503004,547.4721004,593.4564304,207.1743664,313.2525664,249.2576664
OxTG(14:1(OH)_22:4(OH)_18:1)+NH4,928.7600504,875.7123604,651.5347004,545.4565004,593.4564304,207.1743664,313.2525664,247.2420664
OxTG(14:1(OH)_22:4(OH)_18:2)+NH4,926.7443504,873.6966604,649.5190004,543.4408004,593.4564304,207.1743664,313.2525664,245.2263664
OxTG(14:1(OH)_22:4(OH)_18:3)+NH4,924.7287504,871.6810604,647.5034004,541.4252004,593.4564304,207.1743664,313.2525664,243.2107664
OxTG(14:1(OH)_22:4(OH)_18:4)+NH4,922.7130504,869.6653604,645.4877004,539.4095004,593.4564304,207.1743664,313.2525664,241.1950664
OxTG(14:1(OH)_22:4(OH)_20:4)+NH4,950.7443504,897.6966604,673.5190004,567.4408004,593.4564304,207.1743664,313.2525664,269.2263664
OxTG(14:1(OH)_22:4(OH)_20:5)+NH4,948.7287504,895.6810604,671.5034004,565.4252004,593.4564304,207.1743664,313.2525664,267.2107664
OxTG(14:1(OH)_22:4(OH)_22:5)+NH4,976.7600504,923.7123604,699.5347004,593.4565004,593.4564304,207.1743664,313.2525664,295.2420664
OxTG(14:1(OH)_22:4(OH)_22:6)+NH4,974.7443504,921.6966604,697.5190004,591.4408004,593.4564304,207.1743664,313.2525664,293.2263664
OxTG(14:1(OH)_22:5(OH)_14:0)+NH4,872.6974504,819.6497604,595.4721004,491.4095004,591.4408304,207.1743664,311.2369664,193.1950664
OxTG(14:1(OH)_22:5(OH)_14:1)+NH4,870.6818504,817.6341604,593.4565004,489.3939004,591.4408304,207.1743664,311.2369664,191.1794664
OxTG(14:1(OH)_22:5(OH)_16:0)+NH4,900.7287504,847.6810604,623.5034004,519.4408004,591.4408304,207.1743664,311.2369664,221.2263664
OxTG(14:1(OH)_22:5(OH)_16:1)+NH4,898.7131504,845.6654604,621.4878004,517.4252004,591.4408304,207.1743664,311.2369664,219.2107664
OxTG(14:1(OH)_22:5(OH)_18:0)+NH4,928.7600504,875.7123604,651.5347004,547.4721004,591.4408304,207.1743664,311.2369664,249.2576664
OxTG(14:1(OH)_22:5(OH)_18:1)+NH4,926.7444504,873.6967604,649.5191004,545.4565004,591.4408304,207.1743664,311.2369664,247.2420664
OxTG(14:1(OH)_22:5(OH)_18:2)+NH4,924.7287504,871.6810604,647.5034004,543.4408004,591.4408304,207.1743664,311.2369664,245.2263664
OxTG(14:1(OH)_22:5(OH)_18:3)+NH4,922.7131504,869.6654604,645.4878004,541.4252004,591.4408304,207.1743664,311.2369664,243.2107664
OxTG(14:1(OH)_22:5(OH)_18:4)+NH4,920.6974504,867.6497604,643.4721004,539.4095004,591.4408304,207.1743664,311.2369664,241.1950664
OxTG(14:1(OH)_22:5(OH)_20:4)+NH4,948.7287504,895.6810604,671.5034004,567.4408004,591.4408304,207.1743664,311.2369664,269.2263664
OxTG(14:1(OH)_22:5(OH)_20:5)+NH4,946.7131504,893.6654604,669.4878004,565.4252004,591.4408304,207.1743664,311.2369664,267.2107664
OxTG(14:1(OH)_22:5(OH)_22:5)+NH4,974.7444504,921.6967604,697.5191004,593.4565004,591.4408304,207.1743664,311.2369664,295.2420664
OxTG(14:1(OH)_22:5(OH)_22:6)+NH4,972.7287504,919.6810604,695.5034004,591.4408004,591.4408304,207.1743664,311.2369664,293.2263664
OxTG(14:1(OH)_22:6(OH)_14:0)+NH4,870.6817504,817.6340604,593.4564004,491.4095004,589.4251304,207.1743664,309.2212664,193.1950664
OxTG(14:1(OH)_22:6(OH)_14:1)+NH4,868.6661504,815.6184604,591.4408004,489.3939004,589.4251304,207.1743664,309.2212664,191.1794664
OxTG(14:1(OH)_22:6(OH)_16:0)+NH4,898.7130504,845.6653604,621.4877004,519.4408004,589.4251304,207.1743664,309.2212664,221.2263664
OxTG(14:1(OH)_22:6(OH)_16:1)+NH4,896.6974504,843.6497604,619.4721004,517.4252004,589.4251304,207.1743664,309.2212664,219.2107664
OxTG(14:1(OH)_22:6(OH)_18:0)+NH4,926.7443504,873.6966604,649.5190004,547.4721004,589.4251304,207.1743664,309.2212664,249.2576664
OxTG(14:1(OH)_22:6(OH)_18:1)+NH4,924.7287504,871.6810604,647.5034004,545.4565004,589.4251304,207.1743664,309.2212664,247.2420664
OxTG(14:1(OH)_22:6(OH)_18:2)+NH4,922.7130504,869.6653604,645.4877004,543.4408004,589.4251304,207.1743664,309.2212664,245.2263664
OxTG(14:1(OH)_22:6(OH)_18:3)+NH4,920.6974504,867.6497604,643.4721004,541.4252004,589.4251304,207.1743664,309.2212664,243.2107664
OxTG(14:1(OH)_22:6(OH)_18:4)+NH4,918.6817504,865.6340604,641.4564004,539.4095004,589.4251304,207.1743664,309.2212664,241.1950664
OxTG(14:1(OH)_22:6(OH)_20:4)+NH4,946.7130504,893.6653604,669.4877004,567.4408004,589.4251304,207.1743664,309.2212664,269.2263664
OxTG(14:1(OH)_22:6(OH)_20:5)+NH4,944.6974504,891.6497604,667.4721004,565.4252004,589.4251304,207.1743664,309.2212664,267.2107664
OxTG(14:1(OH)_22:6(OH)_22:5)+NH4,972.7287504,919.6810604,695.5034004,593.4565004,589.4251304,207.1743664,309.2212664,295.2420664
OxTG(14:1(OH)_22:6(OH)_22:6)+NH4,970.7130504,917.6653604,693.4877004,591.4408004,589.4251304,207.1743664,309.2212664,293.2263664
OxTG(14:1(OH)_24:1(OH)_14:0)+NH4,908.7913504,855.7436604,631.5660004,491.4095004,627.5347304,207.1743664,347.3308664,193.1950664
OxTG(14:1(OH)_24:1(OH)_14:1)+NH4,906.7757504,853.7280604,629.5504004,489.3939004,627.5347304,207.1743664,347.3308664,191.1794664
OxTG(14:1(OH)_24:1(OH)_16:0)+NH4,936.8226504,883.7749604,659.5973004,519.4408004,627.5347304,207.1743664,347.3308664,221.2263664
OxTG(14:1(OH)_24:1(OH)_16:1)+NH4,934.8070504,881.7593604,657.5817004,517.4252004,627.5347304,207.1743664,347.3308664,219.2107664
OxTG(14:1(OH)_24:1(OH)_18:0)+NH4,964.8539504,911.8062604,687.6286004,547.4721004,627.5347304,207.1743664,347.3308664,249.2576664
OxTG(14:1(OH)_24:1(OH)_18:1)+NH4,962.8383504,909.7906604,685.6130004,545.4565004,627.5347304,207.1743664,347.3308664,247.2420664
OxTG(14:1(OH)_24:1(OH)_18:2)+NH4,960.8226504,907.7749604,683.5973004,543.4408004,627.5347304,207.1743664,347.3308664,245.2263664
OxTG(14:1(OH)_24:1(OH)_18:3)+NH4,958.8070504,905.7593604,681.5817004,541.4252004,627.5347304,207.1743664,347.3308664,243.2107664
OxTG(14:1(OH)_24:1(OH)_18:4)+NH4,956.7913504,903.7436604,679.5660004,539.4095004,627.5347304,207.1743664,347.3308664,241.1950664
OxTG(14:1(OH)_24:1(OH)_20:4)+NH4,984.8226504,931.7749604,707.5973004,567.4408004,627.5347304,207.1743664,347.3308664,269.2263664
OxTG(14:1(OH)_24:1(OH)_20:5)+NH4,982.8070504,929.7593604,705.5817004,565.4252004,627.5347304,207.1743664,347.3308664,267.2107664
OxTG(14:1(OH)_24:1(OH)_22:5)+NH4,1010.83835,957.7906604,733.6130004,593.4565004,627.5347304,207.1743664,347.3308664,295.2420664
OxTG(14:1(OH)_24:1(OH)_22:6)+NH4,1008.82265,955.7749604,731.5973004,591.4408004,627.5347304,207.1743664,347.3308664,293.2263664
OxTG(14:1(OH)_14:1(OHOH)_14:0)+NH4,784.6297504,713.5714904,489.3938304,491.4095004,485.3625604,207.1743664,223.1692664,193.1950664
OxTG(14:1(OH)_14:1(OHOH)_14:1)+NH4,782.6141504,711.5558904,487.3782304,489.3939004,485.3625604,207.1743664,223.1692664,191.1794664
OxTG(14:1(OH)_14:1(OHOH)_16:0)+NH4,812.6610504,741.6027904,517.4251304,519.4408004,485.3625604,207.1743664,223.1692664,221.2263664
OxTG(14:1(OH)_14:1(OHOH)_16:1)+NH4,810.6454504,739.5871904,515.4095304,517.4252004,485.3625604,207.1743664,223.1692664,219.2107664
OxTG(14:1(OH)_14:1(OHOH)_18:0)+NH4,840.6923504,769.6340904,545.4564304,547.4721004,485.3625604,207.1743664,223.1692664,249.2576664
OxTG(14:1(OH)_14:1(OHOH)_18:1)+NH4,838.6767504,767.6184904,543.4408304,545.4565004,485.3625604,207.1743664,223.1692664,247.2420664
OxTG(14:1(OH)_14:1(OHOH)_18:2)+NH4,836.6610504,765.6027904,541.4251304,543.4408004,485.3625604,207.1743664,223.1692664,245.2263664
OxTG(14:1(OH)_14:1(OHOH)_18:3)+NH4,834.6454504,763.5871904,539.4095304,541.4252004,485.3625604,207.1743664,223.1692664,243.2107664
OxTG(14:1(OH)_14:1(OHOH)_18:4)+NH4,832.6297504,761.5714904,537.3938304,539.4095004,485.3625604,207.1743664,223.1692664,241.1950664
OxTG(14:1(OH)_14:1(OHOH)_20:4)+NH4,860.6610504,789.6027904,565.4251304,567.4408004,485.3625604,207.1743664,223.1692664,269.2263664
OxTG(14:1(OH)_14:1(OHOH)_20:5)+NH4,858.6454504,787.5871904,563.4095304,565.4252004,485.3625604,207.1743664,223.1692664,267.2107664
OxTG(14:1(OH)_14:1(OHOH)_22:5)+NH4,886.6767504,815.6184904,591.4408304,593.4565004,485.3625604,207.1743664,223.1692664,295.2420664
OxTG(14:1(OH)_14:1(OHOH)_22:6)+NH4,884.6610504,813.6027904,589.4251304,591.4408004,485.3625604,207.1743664,223.1692664,293.2263664
OxTG(14:1(OH)_15:1(OHOH)_14:0)+NH4,798.6453504,727.5870904,503.4094304,491.4095004,499.3781604,207.1743664,237.1848664,193.1950664
OxTG(14:1(OH)_15:1(OHOH)_14:1)+NH4,796.6297504,725.5714904,501.3938304,489.3939004,499.3781604,207.1743664,237.1848664,191.1794664
OxTG(14:1(OH)_15:1(OHOH)_16:0)+NH4,826.6766504,755.6183904,531.4407304,519.4408004,499.3781604,207.1743664,237.1848664,221.2263664
OxTG(14:1(OH)_15:1(OHOH)_16:1)+NH4,824.6610504,753.6027904,529.4251304,517.4252004,499.3781604,207.1743664,237.1848664,219.2107664
OxTG(14:1(OH)_15:1(OHOH)_18:0)+NH4,854.7079504,783.6496904,559.4720304,547.4721004,499.3781604,207.1743664,237.1848664,249.2576664
OxTG(14:1(OH)_15:1(OHOH)_18:1)+NH4,852.6923504,781.6340904,557.4564304,545.4565004,499.3781604,207.1743664,237.1848664,247.2420664
OxTG(14:1(OH)_15:1(OHOH)_18:2)+NH4,850.6766504,779.6183904,555.4407304,543.4408004,499.3781604,207.1743664,237.1848664,245.2263664
OxTG(14:1(OH)_15:1(OHOH)_18:3)+NH4,848.6610504,777.6027904,553.4251304,541.4252004,499.3781604,207.1743664,237.1848664,243.2107664
OxTG(14:1(OH)_15:1(OHOH)_18:4)+NH4,846.6453504,775.5870904,551.4094304,539.4095004,499.3781604,207.1743664,237.1848664,241.1950664
OxTG(14:1(OH)_15:1(OHOH)_20:4)+NH4,874.6766504,803.6183904,579.4407304,567.4408004,499.3781604,207.1743664,237.1848664,269.2263664
OxTG(14:1(OH)_15:1(OHOH)_20:5)+NH4,872.6610504,801.6027904,577.4251304,565.4252004,499.3781604,207.1743664,237.1848664,267.2107664
OxTG(14:1(OH)_15:1(OHOH)_22:5)+NH4,900.6923504,829.6340904,605.4564304,593.4565004,499.3781604,207.1743664,237.1848664,295.2420664
OxTG(14:1(OH)_15:1(OHOH)_22:6)+NH4,898.6766504,827.6183904,603.4407304,591.4408004,499.3781604,207.1743664,237.1848664,293.2263664
OxTG(14:1(OH)_16:1(OHOH)_14:0)+NH4,812.6610504,741.6027904,517.4251304,491.4095004,513.3938604,207.1743664,251.2005664,193.1950664
OxTG(14:1(OH)_16:1(OHOH)_14:1)+NH4,810.6454504,739.5871904,515.4095304,489.3939004,513.3938604,207.1743664,251.2005664,191.1794664
OxTG(14:1(OH)_16:1(OHOH)_16:0)+NH4,840.6923504,769.6340904,545.4564304,519.4408004,513.3938604,207.1743664,251.2005664,221.2263664
OxTG(14:1(OH)_16:1(OHOH)_16:1)+NH4,838.6767504,767.6184904,543.4408304,517.4252004,513.3938604,207.1743664,251.2005664,219.2107664
OxTG(14:1(OH)_16:1(OHOH)_18:0)+NH4,868.7236504,797.6653904,573.4877304,547.4721004,513.3938604,207.1743664,251.2005664,249.2576664
OxTG(14:1(OH)_16:1(OHOH)_18:1)+NH4,866.7080504,795.6497904,571.4721304,545.4565004,513.3938604,207.1743664,251.2005664,247.2420664
OxTG(14:1(OH)_16:1(OHOH)_18:2)+NH4,864.6923504,793.6340904,569.4564304,543.4408004,513.3938604,207.1743664,251.2005664,245.2263664
OxTG(14:1(OH)_16:1(OHOH)_18:3)+NH4,862.6767504,791.6184904,567.4408304,541.4252004,513.3938604,207.1743664,251.2005664,243.2107664
OxTG(14:1(OH)_16:1(OHOH)_18:4)+NH4,860.6610504,789.6027904,565.4251304,539.4095004,513.3938604,207.1743664,251.2005664,241.1950664
OxTG(14:1(OH)_16:1(OHOH)_20:4)+NH4,888.6923504,817.6340904,593.4564304,567.4408004,513.3938604,207.1743664,251.2005664,269.2263664
OxTG(14:1(OH)_16:1(OHOH)_20:5)+NH4,886.6767504,815.6184904,591.4408304,565.4252004,513.3938604,207.1743664,251.2005664,267.2107664
OxTG(14:1(OH)_16:1(OHOH)_22:5)+NH4,914.7080504,843.6497904,619.4721304,593.4565004,513.3938604,207.1743664,251.2005664,295.2420664
OxTG(14:1(OH)_16:1(OHOH)_22:6)+NH4,912.6923504,841.6340904,617.4564304,591.4408004,513.3938604,207.1743664,251.2005664,293.2263664
OxTG(14:1(OH)_17:1(OHOH)_14:0)+NH4,826.6766504,755.6183904,531.4407304,491.4095004,527.4094604,207.1743664,265.2161664,193.1950664
OxTG(14:1(OH)_17:1(OHOH)_14:1)+NH4,824.6610504,753.6027904,529.4251304,489.3939004,527.4094604,207.1743664,265.2161664,191.1794664
OxTG(14:1(OH)_17:1(OHOH)_16:0)+NH4,854.7079504,783.6496904,559.4720304,519.4408004,527.4094604,207.1743664,265.2161664,221.2263664
OxTG(14:1(OH)_17:1(OHOH)_16:1)+NH4,852.6923504,781.6340904,557.4564304,517.4252004,527.4094604,207.1743664,265.2161664,219.2107664
OxTG(14:1(OH)_17:1(OHOH)_18:0)+NH4,882.7392504,811.6809904,587.5033304,547.4721004,527.4094604,207.1743664,265.2161664,249.2576664
OxTG(14:1(OH)_17:1(OHOH)_18:1)+NH4,880.7236504,809.6653904,585.4877304,545.4565004,527.4094604,207.1743664,265.2161664,247.2420664
OxTG(14:1(OH)_17:1(OHOH)_18:2)+NH4,878.7079504,807.6496904,583.4720304,543.4408004,527.4094604,207.1743664,265.2161664,245.2263664
OxTG(14:1(OH)_17:1(OHOH)_18:3)+NH4,876.6923504,805.6340904,581.4564304,541.4252004,527.4094604,207.1743664,265.2161664,243.2107664
OxTG(14:1(OH)_17:1(OHOH)_18:4)+NH4,874.6766504,803.6183904,579.4407304,539.4095004,527.4094604,207.1743664,265.2161664,241.1950664
OxTG(14:1(OH)_17:1(OHOH)_20:4)+NH4,902.7079504,831.6496904,607.4720304,567.4408004,527.4094604,207.1743664,265.2161664,269.2263664
OxTG(14:1(OH)_17:1(OHOH)_20:5)+NH4,900.6923504,829.6340904,605.4564304,565.4252004,527.4094604,207.1743664,265.2161664,267.2107664
OxTG(14:1(OH)_17:1(OHOH)_22:5)+NH4,928.7236504,857.6653904,633.4877304,593.4565004,527.4094604,207.1743664,265.2161664,295.2420664
OxTG(14:1(OH)_17:1(OHOH)_22:6)+NH4,926.7079504,855.6496904,631.4720304,591.4408004,527.4094604,207.1743664,265.2161664,293.2263664
OxTG(14:1(OH)_17:2(OHOH)_14:0)+NH4,824.6610504,753.6027904,529.4251304,491.4095004,525.3938604,207.1743664,263.2005664,193.1950664
