OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[R1CO-nH2O]+,[R2CO-nH2O]+,[R3CO-nH2O]+
OxTG(14:1_18:1_18:2(OHOH))+NH4,876.7288104,823.6811204,597.4877904,541.4251904,547.4721704,191.1794664,247.2420664,277.2162264
OxTG(14:1_18:1_18:2(OH))+NH4,860.7338904,825.6967704,599.5034404,543.4408404,547.4721704,191.1794664,247.2420664,261.2213064
OxTG(14:1_18:2_20:4(OHOH))+NH4,898.7131104,845.6654204,619.4720904,565.4251904,545.4564704,191.1794664,245.2263664,301.2162264
OxTG(14:1_18:2_20:4(OH))+NH4,882.7181904,847.6810704,621.4877404,567.4408404,545.4564704,191.1794664,245.2263664,285.2213064
OxTG(14:1_18:2_18:2(OHOH))+NH4,874.7131104,821.6654204,595.4720904,541.4251904,545.4564704,191.1794664,245.2263664,277.2162264
OxTG(14:1_18:2_18:2(OH))+NH4,858.7181904,823.6810704,597.4877404,543.4408404,545.4564704,191.1794664,245.2263664,261.2213064
OxTG(14:1_18:3_20:4(OHOH))+NH4,896.6975104,843.6498204,617.4564904,565.4251904,543.4408704,191.1794664,243.2107664,301.2162264
OxTG(14:1_18:3_20:4(OH))+NH4,880.7025904,845.6654704,619.4721404,567.4408404,543.4408704,191.1794664,243.2107664,285.2213064
OxTG(14:1_18:3_18:2(OHOH))+NH4,872.6975104,819.6498204,593.4564904,541.4251904,543.4408704,191.1794664,243.2107664,277.2162264
OxTG(14:1_18:3_18:2(OH))+NH4,856.7025904,821.6654704,595.4721404,543.4408404,543.4408704,191.1794664,243.2107664,261.2213064
OxTG(14:1_18:4_20:4(OHOH))+NH4,894.6818104,841.6341204,615.4407904,565.4251904,541.4251704,191.1794664,241.1950664,301.2162264
OxTG(14:1_18:4_20:4(OH))+NH4,878.6868904,843.6497704,617.4564404,567.4408404,541.4251704,191.1794664,241.1950664,285.2213064
OxTG(14:1_18:4_18:2(OHOH))+NH4,870.6818104,817.6341204,591.4407904,541.4251904,541.4251704,191.1794664,241.1950664,277.2162264
OxTG(14:1_18:4_18:2(OH))+NH4,854.6868904,819.6497704,593.4564404,543.4408404,541.4251704,191.1794664,241.1950664,261.2213064
OxTG(14:1_20:4_20:4(OHOH))+NH4,922.7131104,869.6654204,643.4720904,565.4251904,569.4564704,191.1794664,269.2263664,301.2162264
OxTG(14:1_20:4_20:4(OH))+NH4,906.7181904,871.6810704,645.4877404,567.4408404,569.4564704,191.1794664,269.2263664,285.2213064
OxTG(14:1_20:4_18:2(OHOH))+NH4,898.7131104,845.6654204,619.4720904,541.4251904,569.4564704,191.1794664,269.2263664,277.2162264
OxTG(14:1_20:4_18:2(OH))+NH4,882.7181904,847.6810704,621.4877404,543.4408404,569.4564704,191.1794664,269.2263664,261.2213064
OxTG(14:1_20:5_20:4(OHOH))+NH4,920.6975104,867.6498204,641.4564904,565.4251904,567.4408704,191.1794664,267.2107664,301.2162264
OxTG(14:1_20:5_20:4(OH))+NH4,904.7025904,869.6654704,643.4721404,567.4408404,567.4408704,191.1794664,267.2107664,285.2213064
OxTG(14:1_20:5_18:2(OHOH))+NH4,896.6975104,843.6498204,617.4564904,541.4251904,567.4408704,191.1794664,267.2107664,277.2162264
OxTG(14:1_20:5_18:2(OH))+NH4,880.7025904,845.6654704,619.4721404,543.4408404,567.4408704,191.1794664,267.2107664,261.2213064
OxTG(14:1_22:5_20:4(OHOH))+NH4,948.7288104,895.6811204,669.4877904,565.4251904,595.4721704,191.1794664,295.2420664,301.2162264
OxTG(14:1_22:5_20:4(OH))+NH4,932.7338904,897.6967704,671.5034404,567.4408404,595.4721704,191.1794664,295.2420664,285.2213064
OxTG(14:1_22:5_18:2(OHOH))+NH4,924.7288104,871.6811204,645.4877904,541.4251904,595.4721704,191.1794664,295.2420664,277.2162264
OxTG(14:1_22:5_18:2(OH))+NH4,908.7338904,873.6967704,647.5034404,543.4408404,595.4721704,191.1794664,295.2420664,261.2213064
OxTG(14:1_22:6_20:4(OHOH))+NH4,946.7131104,893.6654204,667.4720904,565.4251904,593.4564704,191.1794664,293.2263664,301.2162264
OxTG(14:1_22:6_20:4(OH))+NH4,930.7181904,895.6810704,669.4877404,567.4408404,593.4564704,191.1794664,293.2263664,285.2213064
OxTG(14:1_22:6_18:2(OHOH))+NH4,922.7131104,869.6654204,643.4720904,541.4251904,593.4564704,191.1794664,293.2263664,277.2162264
OxTG(14:1_22:6_18:2(OH))+NH4,906.7181904,871.6810704,645.4877404,543.4408404,593.4564704,191.1794664,293.2263664,261.2213064
OxTG(16:0_16:0_20:4(OHOH))+NH4,904.7600104,851.7123204,595.4720904,595.4720904,551.5033704,221.2263664,221.2263664,301.2162264
OxTG(16:0_16:0_20:4(OH))+NH4,888.7650904,853.7279704,597.4877404,597.4877404,551.5033704,221.2263664,221.2263664,285.2213064
OxTG(16:0_16:0_18:2(OHOH))+NH4,880.7600104,827.7123204,571.4720904,571.4720904,551.5033704,221.2263664,221.2263664,277.2162264
