"MSDIAL_NAGlySer","[M-H]-","1","2","3","4","5","6"
"MSDIAL_NAGlySer 10:0/18:1;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/CCCCCCCC;SKLJJILLUZNWCD-PYCFMQQDNA-N;C33H60N2O7","595.43278","393.2759","595.4328","577.4222","171.1391","361.286","423.2864"
"MSDIAL_NAGlySer 10:0/18:2;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/C\C=C/CCCCC;QRMQEERMUPBZEI-SGJAMGDONA-N;C33H58N2O7","593.41713","391.2602","593.4171","575.4066","171.1391","359.2704","421.2708"
"MSDIAL_NAGlySer 10:0/18:3;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/C\C=C/C\C=C/CC;CFZYRWHLDWKRGM-BUBOCCJUNA-N;C33H56N2O7","591.40148","389.2446","591.4015","573.3909","171.1391","357.2548","419.2552"
"MSDIAL_NAGlySer 10:0/19:0;[M-H]-;CCCCCCCCCCC(CCCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)OC(=O)CCCCCCCCC;DPEGVFKWRILSIW-UHFFFAOYNA-N;C34H64N2O7","611.46408","409.3072","611.4641","593.4535","171.1391","377.3174","439.3177"
"MSDIAL_NAGlySer 10:0/19:1;[M-H]-;CCCCCCCCC\C=C/C(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)OC(=O)CCCCCCCCC;AFLQIVZTNYSUKC-NMWGTECJNA-N;C34H62N2O7","609.44843","407.2915","609.4484","591.4379","171.1391","375.3017","437.3021"
"MSDIAL_NAGlySer 10:0/19:2;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/C\C=C/CCCCCC;TVDVJQNAKCWFGD-XFJMXBJTNA-N;C34H60N2O7","607.43278","405.2759","607.4328","589.4222","171.1391","373.286","435.2864"
"MSDIAL_NAGlySer 10:0/20:0;[M-H]-;CCCCCCCCCCCC(CCCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)OC(=O)CCCCCCCCC;KLDKYQMBTARGEY-UHFFFAOYNA-N;C35H66N2O7","625.47973","423.3228","625.4797","607.4692","171.1391","391.333","453.3334"
"MSDIAL_NAGlySer 10:0/20:1;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/CCCCCCCC;ONZXNRFYUVSGBT-GFMRDNFCNA-N;C35H64N2O7","623.46408","421.3072","623.4641","605.4535","171.1391","389.3174","451.3177"
"MSDIAL_NAGlySer 10:0/20:2;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/C\C=C/CCCCC;HUFMAZSZRMLHLM-XQFMOLSUNA-N;C35H62N2O7","621.44843","419.2915","621.4484","603.4379","171.1391","387.3017","449.3021"
"MSDIAL_NAGlySer 10:0/20:3;[M-H]-;CCCCCCCCCC(=O)OC(CCCCCCCCC(=O)NCC(=O)NC(CO)C(O)=O)\C=C/C\C=C/C\C=C/CC;ZQENHFYJBIXBKM-USMXPWDYNA-N;C35H60N2O7","619.43278","417.2759","619.4328","601.4222","171.1391","385.286","447.2864"
